trialIndex,numUnstable,numNM1,numNM2,matchingAM,matchingGM,unstableAM,unstableGM,unstableRAM,nm1AM,nm1GM,nm1RAM,nm2GenAM,nm2GenGM,nm2GenRAM,nm2AM,nm2GM,nm2RAM,numEdges,numSingletons,numChains,numCycles,avgChainLen,avgCycleLen,converges
10782,6,3,2,"[0.5, 1.0, 2.0, 2.5, 3.0, 3.0, 3.5, 3.5, 4.0, 4.0]","[0.0, 0.0, 0.0, 0.0, 2.0, 2.4494898, 2.828427, 3.0, 3.1622777, 3.8729835]","[1.0, 1.5, 1.5, 3.0, 4.0, 4.5]","[0.0, 0.0, 1.4142135, 3.0, 3.7416575, 3.8729835]","[-3.5, -2.5, -2.5, -2.0, -1.5, -1.0]","[1.0, 1.5, 4.5]","[0.0, 1.4142135, 3.7416575]","[-2.5, -2.0, -1.5]","[3.5, 3.5, 5.0]","[3.0, 3.1622777, 3.4641016]","[0.0, 0.5, 3.0]","[3.5, 6.0]","[3.4641016, 5.91608]","[0.0, 4.5]",1,1,1,0,1.0,0.0,0
23459,8,3,1,"[1.0, 1.0, 2.0, 2.0, 2.5, 2.5, 4.0, 4.5, 5.5, 6.5]","[0.0, 1.0, 1.0, 2.0, 2.0, 2.4494898, 2.828427, 3.8729835, 5.477226, 6.0]","[1.5, 2.0, 2.5, 3.0, 3.0, 3.0, 3.5, 3.5]","[0.0, 1.4142135, 1.7320508, 2.4494898, 2.828427, 2.828427, 3.1622777, 3.1622777]","[-4.0, -3.5, -2.0, -2.0, -1.5, -1.5, -1.0, -1.0]","[1.5, 3.0, 3.5]","[1.4142135, 2.828427, 3.1622777]","[-4.0, -3.5, -2.0]","[3.0, 3.5, 6.5]","[2.828427, 3.1622777, 6.0]","[-3.5, -2.0, 3.5]",[6.5],[6.0],[3.5],2,1,0,1,0.0,2.0,0
130,3,3,3,"[0.5, 0.5, 0.5, 2.0, 2.5, 2.5, 3.0, 4.5, 5.0, 5.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7320508, 2.236068, 4.0, 4.8989797]","[3.5, 3.5, 3.5]","[2.4494898, 3.4641016, 3.4641016]","[-3.5, -2.0, -1.5]","[3.5, 3.5, 3.5]","[2.4494898, 3.4641016, 3.4641016]","[-3.5, -2.0, -1.5]","[5.0, 6.5, 8.0]","[3.0, 6.4807405, 7.937254]","[3.0, 6.5, 7.5]","[5.0, 6.5, 8.0]","[3.0, 6.4807405, 7.937254]","[3.0, 6.5, 7.5]",0,3,0,0,0.0,0.0,1
593,8,4,3,"[0.0, 0.5, 1.0, 2.0, 2.0, 3.0, 3.5, 5.0, 5.0, 8.5]","[0.0, 0.0, 0.0, 0.0, 1.7320508, 3.0, 3.0, 3.0, 3.1622777, 8.485281]","[1.5, 3.0, 3.5, 4.0, 4.0, 4.5, 6.5, 7.0]","[0.0, 0.0, 2.4494898, 3.7416575, 3.8729835, 4.0, 6.3245554, 7.0]","[-3.5, -3.0, -3.0, -2.5, -2.5, -2.5, -2.0, -1.0]","[1.5, 3.0, 4.0, 4.0]","[0.0, 0.0, 3.8729835, 4.0]","[-3.5, -3.0, -3.0, -2.5]","[3.0, 4.0, 6.0, 7.0]","[0.0, 2.6457512, 5.656854, 6.708204]","[-1.0, 1.5, 2.5, 6.0]","[3.0, 7.0, 7.0]","[0.0, 6.708204, 6.708204]","[2.5, 6.0, 6.0]",1,2,1,0,1.0,0.0,1
76133,4,2,2,"[0.0, 0.5, 0.5, 1.0, 1.5, 2.0, 2.5, 2.5, 4.5, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.7320508, 2.0, 2.828427, 4.582576]","[1.5, 2.0, 2.5, 5.0]","[0.0, 0.0, 2.0, 4.8989797]","[-3.5, -1.5, -1.5, -1.5]","[1.5, 2.5]","[0.0, 0.0]","[-3.5, -1.5]","[4.0, 7.0]","[3.4641016, 7.0]","[2.5, 6.0]","[4.0, 7.0]","[3.4641016, 7.0]","[2.5, 6.0]",0,2,0,0,0.0,0.0,0
21724,4,3,2,"[0.0, 0.5, 1.0, 1.0, 1.5, 2.0, 3.0, 3.0, 4.0, 7.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.236068, 2.828427, 3.8729835, 7.3484693]","[1.5, 2.0, 2.5, 3.0]","[0.0, 0.0, 0.0, 3.0]","[-3.5, -2.5, -2.0, -1.0]","[1.5, 2.0, 3.0]","[0.0, 0.0, 3.0]","[-3.5, -2.5, -2.0]","[3.0, 4.0, 4.0]","[0.0, 2.6457512, 2.828427]","[-2.5, 1.0, 1.0]","[4.0, 8.5]","[0.0, 8.485281]","[1.0, 7.5]",1,1,1,0,1.0,0.0,0
198,3,2,1,"[1.0, 1.0, 1.0, 1.5, 2.5, 2.5, 2.5, 3.0, 3.0, 6.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.4142135, 2.0, 2.4494898, 6.0]","[0.5, 2.0, 4.0]","[0.0, 0.0, 1.7320508]","[-2.5, -2.0, -1.0]","[0.5, 4.0]","[0.0, 0.0]","[-2.5, -2.0]","[7.5, 7.5]","[7.3484693, 7.483315]","[3.0, 4.5]",[4.0],[2.6457512],[3.0],1,0,1,0,1.0,0.0,1
71538,3,2,2,"[0.0, 1.0, 1.5, 1.5, 1.5, 2.0, 2.5, 4.0, 5.0, 5.5]","[0.0, 0.0, 0.0, 1.0, 1.4142135, 1.4142135, 1.7320508, 3.8729835, 4.0, 4.8989797]","[2.0, 2.5, 3.0]","[1.7320508, 2.0, 2.236068]","[-4.5, -2.5, -1.0]","[2.0, 2.5]","[1.7320508, 2.0]","[-4.5, -1.0]","[3.5, 5.0]","[2.4494898, 5.0]","[2.0, 3.0]","[3.5, 5.0]","[2.4494898, 5.0]","[2.0, 3.0]",0,2,0,0,0.0,0.0,0
720,1,1,1,"[0.0, 0.5, 0.5, 0.5, 1.0, 2.0, 3.0, 3.5, 4.5, 5.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.236068, 2.4494898, 4.2426405, 4.2426405]",[4.0],[0.0],[-1.0],[4.0],[0.0],[-1.0],[2.0],[1.7320508],[-1.5],[2.0],[1.7320508],[-1.5],0,1,0,0,0.0,0.0,1
45567,5,3,2,"[0.5, 1.0, 1.0, 1.5, 1.5, 2.0, 3.0, 3.0, 4.5, 6.5]","[0.0, 0.0, 0.0, 0.0, 1.4142135, 1.4142135, 3.0, 3.0, 4.2426405, 6.4807405]","[0.5, 1.5, 1.5, 2.0, 2.0]","[0.0, 0.0, 1.4142135, 1.7320508, 1.7320508]","[-4.5, -3.5, -2.5, -2.0, -1.5]","[0.5, 2.0, 2.0]","[0.0, 1.7320508, 1.7320508]","[-3.5, -2.5, -1.5]","[5.0, 5.5, 5.5]","[3.0, 4.2426405, 4.8989797]","[1.5, 2.5, 2.5]","[2.5, 5.0]","[2.0, 3.0]","[1.0, 1.5]",1,1,1,0,1.0,0.0,0
762,4,3,2,"[0.5, 0.5, 0.5, 0.5, 2.0, 2.5, 4.5, 5.5, 5.5, 6.0]","[0.0, 0.0, 0.0, 0.0, 1.7320508, 2.4494898, 4.472136, 4.8989797, 4.8989797, 5.656854]","[0.5, 2.0, 3.0, 4.0]","[0.0, 0.0, 2.236068, 2.6457512]","[-4.0, -3.0, -2.5, -2.5]","[0.5, 3.0, 4.0]","[0.0, 2.236068, 2.6457512]","[-4.0, -3.0, -2.5]","[4.5, 4.5, 7.5]","[2.828427, 3.7416575, 7.3484693]","[0.0, 1.5, 3.0]","[4.5, 5.0]","[2.828427, 4.8989797]","[0.0, 3.0]",1,1,1,0,1.0,0.0,1
