trialIndex,numUnstable,numNM1,numNM2,matchingAM,matchingGM,unstableAM,unstableGM,unstableRAM,nm1AM,nm1GM,nm1RAM,nm2GenAM,nm2GenGM,nm2GenRAM,nm2AM,nm2GM,nm2RAM,numEdges,numSingletons,numChains,numCycles,avgChainLen,avgCycleLen,converges
61330,4,1,1,"[0.0, 1.0, 1.0, 1.5, 1.5, 1.5, 2.5, 3.0, 4.0, 4.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 1.4142135, 2.236068, 2.4494898, 4.0]","[1.0, 2.0, 2.5, 3.5]","[0.0, 1.7320508, 2.0, 2.4494898]","[-4.0, -4.0, -4.0, -2.0]",[1.0],[0.0],[-4.0],[7.0],[6.928203],[4.5],[7.0],[6.928203],[4.5],0,1,0,0,0.0,0.0,0
207,1,1,1,"[0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 2.0, 2.5, 3.0, 6.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7320508, 2.4494898, 6.0]",[6.0],[5.656854],[-1.5],[6.0],[5.656854],[-1.5],[8.5],[8.485281],[6.5],[8.5],[8.485281],[6.5],0,1,0,0,0.0,0.0,1
625,2,1,1,"[0.5, 1.0, 1.0, 1.0, 1.5, 1.5, 2.0, 3.0, 3.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.828427, 4.582576]","[2.0, 3.5]","[0.0, 2.4494898]","[-3.5, -1.5]",[2.0],[0.0],[-3.5],[3.0],[2.828427],[1.5],[3.0],[2.828427],[1.5],0,1,0,0,0.0,0.0,1
59,6,2,0,"[0.0, 0.5, 1.0, 1.0, 2.0, 2.5, 3.0, 3.5, 7.5, 8.0]","[0.0, 0.0, 0.0, 0.0, 1.7320508, 2.0, 2.4494898, 2.828427, 7.483315, 7.937254]","[1.5, 2.0, 2.5, 3.5, 5.0, 5.5]","[0.0, 0.0, 1.7320508, 2.0, 4.0, 5.477226]","[-7.0, -4.0, -3.0, -1.5, -1.5, -1.0]","[1.5, 5.5]","[0.0, 5.477226]","[-7.0, -1.5]","[1.5, 5.5]","[0.0, 5.477226]","[-7.0, -1.5]",[],[],[],2,0,0,1,0.0,2.0,1
35,1,1,1,"[0.0, 0.0, 0.5, 0.5, 0.5, 1.5, 2.5, 2.5, 3.5, 4.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 2.0, 2.4494898, 4.472136]",[3.5],[3.4641016],[-1.0],[3.5],[3.4641016],[-1.0],[2.5],[2.4494898],[2.0],[2.5],[2.4494898],[2.0],0,1,0,0,0.0,0.0,1
9911,2,2,1,"[0.0, 0.5, 1.0, 2.5, 2.5, 3.5, 4.0, 4.0, 4.5, 6.0]","[0.0, 0.0, 1.0, 2.4494898, 2.4494898, 3.4641016, 3.4641016, 4.0, 4.2426405, 5.196152]","[2.0, 3.5]","[0.0, 1.7320508]","[-2.0, -1.5]","[2.0, 3.5]","[0.0, 1.7320508]","[-2.0, -1.5]","[5.0, 6.5]","[4.8989797, 6.3245554]","[-1.0, 3.5]",[4.0],[0.0],[1.0],1,0,1,0,1.0,0.0,0
680,1,1,1,"[0.0, 0.0, 0.5, 1.0, 1.0, 1.5, 2.0, 2.0, 3.0, 6.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7320508, 2.0, 2.236068, 6.0]",[1.0],[0.0],[-2.5],[1.0],[0.0],[-2.5],[7.0],[7.0],[2.5],[7.0],[7.0],[2.5],0,1,0,0,0.0,0.0,1
147,2,1,1,"[0.0, 1.0, 1.0, 1.0, 2.5, 2.5, 2.5, 2.5, 2.5, 3.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4494898, 2.4494898, 2.4494898]","[1.5, 2.5]","[0.0, 2.0]","[-3.0, -2.0]",[1.5],[0.0],[-2.0],[5.0],[5.0],[5.0],[5.0],[5.0],[5.0],0,1,0,0,0.0,0.0,1
627,1,1,1,"[0.5, 0.5, 1.0, 1.5, 2.0, 2.0, 2.0, 3.5, 5.5, 6.0]","[0.0, 0.0, 0.0, 0.0, 1.4142135, 1.7320508, 2.0, 2.4494898, 5.196152, 5.477226]",[3.0],[2.828427],[-1.5],[3.0],[2.828427],[-1.5],[2.5],[2.0],[-0.5],[2.5],[2.0],[-0.5],0,1,0,0,0.0,0.0,1
92783,3,1,1,"[1.0, 1.5, 1.5, 1.5, 2.0, 2.5, 3.0, 3.0, 3.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 1.4142135, 1.7320508, 2.4494898, 3.0]","[3.5, 4.5, 4.5]","[2.4494898, 2.828427, 4.472136]","[-3.0, -3.0, -2.0]",[4.5],[4.472136],[-3.0],[5.0],[3.0],[4.5],[5.0],[3.0],[4.5],0,1,0,0,0.0,0.0,0
