learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0.001,0.69321716,0.6931405,0.5005933,0.5018
0.001,0.69318867,0.6931577,0.5009,0.49796
0.001,0.69312966,0.6931146,0.50322,0.50282
0.001,0.6930991,0.69322145,0.50464,0.49884
0.001,0.6827333,0.6803374,0.55703336,0.57048
0.001,0.67764705,0.67871135,0.57037336,0.56876
0.001,0.67599165,0.67328835,0.57498,0.58268
0.001,0.6736285,0.67204046,0.58003336,0.58334
0.001,0.6723468,0.67097336,0.5824,0.58492
0.001,0.67103976,0.67084855,0.58585334,0.58888
0.001,0.670225,0.66980845,0.58657336,0.58754
0.001,0.66922843,0.671032,0.58845335,0.58686
0.001,0.6688555,0.6692094,0.58932,0.59132
0.001,0.6681992,0.67011,0.58893335,0.58806
0.001,0.6678151,0.6687649,0.5905,0.58994
0.001,0.66707575,0.66810215,0.59153336,0.59188
0.001,0.66694945,0.6689434,0.59248,0.58708
0.001,0.6660098,0.66794735,0.59359336,0.59306
0.001,0.6658709,0.66749823,0.59442,0.59228
0.001,0.6650932,0.67203647,0.5950933,0.58444
0.001,0.6648419,0.6675333,0.59576,0.5941
0.001,0.6645467,0.66763353,0.59529334,0.59232
0.001,0.663624,0.66786647,0.5973,0.5912
0.001,0.6632109,0.66919154,0.5987933,0.5905
0.001,0.6627096,0.66804713,0.59906,0.59318
0.001,0.6621301,0.6686785,0.60010666,0.59164
0.001,0.66176474,0.66792005,0.59978664,0.5911
0.001,0.6612822,0.6682286,0.60043335,0.5915
0.001,0.6603454,0.6687793,0.6010867,0.58972
0.001,0.6602566,0.66871375,0.60305333,0.59234
0.0005,0.65735185,0.67066526,0.60534,0.58956
0.0005,0.65686274,0.66957915,0.60756665,0.5892
0.0005,0.6562685,0.6691837,0.60767335,0.58914
0.0005,0.6558235,0.67033505,0.60916,0.59012
0.0005,0.65542233,0.6704903,0.60869336,0.59042
0.0005,0.65486443,0.6699074,0.60892665,0.5884
0.0005,0.6544874,0.67269254,0.60921335,0.5866
0.0005,0.65417194,0.67076355,0.61054665,0.5888
0.0005,0.6538852,0.6715868,0.61009336,0.58778
0.0005,0.65316176,0.67620856,0.61113334,0.58858
0.0005,0.652886,0.67180264,0.6111,0.58664
0.00025,0.65130067,0.6743083,0.61286664,0.58618
0.00025,0.6504342,0.6727734,0.61381334,0.5878
0.00025,0.64999616,0.674352,0.6144867,0.58708
0.00025,0.64991844,0.6736489,0.61534,0.58782
0.00025,0.6497834,0.6744419,0.61553335,0.58558
0.00025,0.649392,0.6747372,0.61458,0.58768
0.00025,0.6492547,0.67488,0.6157867,0.58658
0.00025,0.64870894,0.6757276,0.6159533,0.5867
0.00025,0.64858246,0.6733948,0.61658,0.58582
0.00025,0.64836633,0.6754443,0.6161867,0.58572
0.00025,0.6480642,0.6753729,0.61728,0.58468
0.000125,0.6469313,0.6766982,0.61734,0.58636
0.000125,0.6466674,0.677144,0.6182333,0.58566
0.000125,0.6463999,0.67652726,0.61792666,0.5859
0.000125,0.64680076,0.6762599,0.61659336,0.5863
0.000125,0.645848,0.6769387,0.6191,0.5863
0.000125,0.6463553,0.6774503,0.61821336,0.5852
0.000125,0.64598954,0.6766723,0.619,0.58444
0.000125,0.64562845,0.6779308,0.6183067,0.58458
0.000125,0.6456107,0.67742854,0.61811334,0.58582
0.000125,0.6453545,0.6771125,0.61931336,0.58464
0.000125,0.64541346,0.6768064,0.6187867,0.58612
6.25e-05,0.64478785,0.6778011,0.61968666,0.58476
6.25e-05,0.64453244,0.6787877,0.61947334,0.5849
6.25e-05,0.6444466,0.67813325,0.6197067,0.58436
6.25e-05,0.64429533,0.67883736,0.62,0.58504
6.25e-05,0.6445425,0.6776914,0.61906,0.58454
6.25e-05,0.6440074,0.67894113,0.62008667,0.5845
6.25e-05,0.6439315,0.67920655,0.62126666,0.58496
6.25e-05,0.64419436,0.6789182,0.6205533,0.58514
6.25e-05,0.6435231,0.6795429,0.6194467,0.58402
6.25e-05,0.643899,0.67936355,0.61975336,0.58528
6.25e-05,0.64353925,0.6789736,0.62066,0.5862
3.125e-05,0.6430873,0.6793034,0.62114,0.5857
3.125e-05,0.6436069,0.6798138,0.6204733,0.58494
3.125e-05,0.64299643,0.67974037,0.62053335,0.58586
3.125e-05,0.643023,0.679907,0.6207467,0.58532
3.125e-05,0.64281535,0.6807028,0.62109333,0.58528
3.125e-05,0.64272517,0.67944795,0.6217,0.58418
3.125e-05,0.642939,0.68003297,0.6212,0.58494
3.125e-05,0.6429842,0.6797799,0.62084,0.58634
3.125e-05,0.64245105,0.6794919,0.62182,0.58412
3.125e-05,0.642997,0.6797725,0.6211067,0.58482
3.125e-05,0.64269394,0.6798459,0.62042665,0.58438
1.5625e-05,0.6426751,0.6802027,0.62178665,0.5845
1.5625e-05,0.64286757,0.68030936,0.6218467,0.58526
1.5625e-05,0.6423861,0.6801158,0.62152666,0.58468
1.5625e-05,0.6427552,0.68008757,0.62045336,0.58462
1.5625e-05,0.6425948,0.680201,0.62185335,0.58458
1.5625e-05,0.6426235,0.67986685,0.62156,0.58444
1.5625e-05,0.64259887,0.6802663,0.62094665,0.58476
1.5625e-05,0.64253944,0.6803816,0.62149334,0.58476
1.5625e-05,0.6426036,0.6801645,0.62109333,0.58506
