train_loss,test_loss,train_accuracy,test_accuracy
0.6932133,0.6932558,0.5025667,0.50014
0.69310653,0.69292593,0.5042667,0.50848
0.69270337,0.6859364,0.51008,0.55482
0.6790872,0.67528623,0.56942,0.57752
0.675145,0.6739254,0.57629335,0.58216
0.6729907,0.67265576,0.58011335,0.57976
0.6718846,0.6720724,0.5826733,0.58348
0.67084295,0.669444,0.585,0.58762
0.6700271,0.66894305,0.58636665,0.58784
0.66901255,0.66877586,0.58761334,0.58938
0.6686101,0.67215806,0.58966666,0.58492
0.6679932,0.6686719,0.58951336,0.589
0.6676194,0.66823876,0.59068,0.58944
0.6668401,0.6681754,0.59196,0.58986
0.66689414,0.66959757,0.59168,0.58926
0.6661016,0.671973,0.59242,0.58996
0.6658097,0.66810346,0.5942467,0.5904
0.66519547,0.66951406,0.59440666,0.5881
0.6645903,0.6683036,0.59581333,0.58926
0.6641819,0.6715464,0.5958667,0.58668
0.6636556,0.6685638,0.5968867,0.59018
0.6631252,0.6693679,0.5972,0.58618
0.66212356,0.6715265,0.59963334,0.57772
0.66147757,0.66895926,0.6003,0.58746
0.66129893,0.66883224,0.60102665,0.58844
0.6605098,0.6692168,0.60172665,0.5852
0.66027,0.66881806,0.60244,0.5888
0.65932345,0.6755963,0.60344,0.5869
0.65893894,0.67000455,0.60384667,0.58634
0.6581918,0.6743345,0.60572,0.58764
0.6577166,0.6718665,0.60696,0.58608
0.6568961,0.6733313,0.6064733,0.58588
0.65631944,0.6725842,0.60782,0.58452
0.65529484,0.67362136,0.60910666,0.58612
0.65492576,0.6727798,0.61076,0.58238
0.65452874,0.67494625,0.61127335,0.58418
0.65366375,0.6754296,0.6110733,0.58448
0.65254414,0.6761256,0.6123933,0.58086
0.65242124,0.67502654,0.61288667,0.58568
0.65175676,0.6781899,0.61293334,0.5783
0.6510387,0.67531085,0.61499333,0.58166
0.6504892,0.67785895,0.61547333,0.5856
0.6497178,0.6762023,0.6159933,0.58114
0.649271,0.6806519,0.61676,0.57888
0.64818424,0.6767384,0.61668,0.58166
0.6481941,0.6810488,0.61766,0.57862
0.6476645,0.6778758,0.61772,0.58112
0.64694583,0.6806704,0.61951333,0.57994
0.64616275,0.6789351,0.6203667,0.58124
0.6457224,0.6872903,0.62162,0.57918
0.6451929,0.68348193,0.62108666,0.57634
0.64500296,0.6797759,0.62145334,0.57726
0.6447696,0.6810511,0.6218,0.57794
0.643613,0.6822755,0.62278,0.57682
0.64349616,0.6828447,0.6226467,0.57498
0.6427522,0.68278694,0.6247867,0.57794
0.64135474,0.6860469,0.62575334,0.57816
0.6419697,0.6831348,0.62458664,0.5752
0.6412936,0.6822737,0.6256667,0.57694
0.6407031,0.6829884,0.6261467,0.57848
0.64016044,0.683782,0.62769336,0.57694
0.6396258,0.6853889,0.62737334,0.57348
0.6393762,0.6903547,0.62729335,0.57494
0.639106,0.6908773,0.62813336,0.57648
0.6386371,0.68698925,0.6278667,0.57616
0.63861907,0.6873163,0.62942,0.5733
0.63829094,0.69362783,0.6281533,0.57736
0.6378461,0.6876566,0.6290733,0.57646
0.6377722,0.68873477,0.62986,0.57658
0.63646704,0.69157726,0.6306,0.57318
0.6364597,0.6883683,0.63218665,0.5748
0.63633496,0.6914674,0.63008666,0.5766
0.636314,0.68741286,0.63232,0.57496
0.6354949,0.693264,0.6319733,0.57072
0.6352607,0.6911538,0.63221335,0.57292
0.6352461,0.69252324,0.6333467,0.5682
0.634146,0.6921347,0.63348,0.5733
0.6344155,0.69073147,0.6334,0.5746
0.63427234,0.692267,0.63396,0.57362
0.6342326,0.6926793,0.6336,0.57304
0.633338,0.69395167,0.6336733,0.57222
0.63358337,0.6953874,0.63537335,0.57256
0.63332886,0.693288,0.6350733,0.5731
0.6341793,0.6913689,0.6341067,0.57316
0.63297576,0.6937034,0.63387334,0.57012
0.6333701,0.6952009,0.6349,0.56924
0.6328142,0.6989435,0.6349267,0.57454
0.63197416,0.69532293,0.63656664,0.57008
0.6323276,0.69261026,0.63688666,0.56844
0.632218,0.6914386,0.63612,0.56586
0.63117915,0.6954131,0.6377533,0.57286
0.63158864,0.69499266,0.6373067,0.56742
0.6310879,0.69244033,0.6372067,0.57198
0.6308774,0.69057846,0.6367133,0.57184
0.6306926,0.69171065,0.6383,0.57164
0.6311827,0.694439,0.6367533,0.57332
0.63049,0.69470936,0.63752,0.56886
0.6299246,0.7006042,0.63887334,0.568
0.63002837,0.6960286,0.6387733,0.5687
0.63063353,0.6962431,0.63568,0.57008
