learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0.001,0.69314134,0.69293827,0.50400335,0.5099
0.001,0.6929739,0.6929005,0.5090034,0.50652
0.001,0.6928983,0.6927893,0.50957006,0.51192
0.001,0.6928456,0.6927694,0.50991005,0.51036
0.001,0.6927862,0.69275004,0.5118634,0.51146
0.001,0.6927653,0.69276375,0.5104701,0.51176
0.001,0.69273937,0.69270587,0.5117301,0.5103
0.001,0.6927242,0.6927892,0.5117301,0.50932
0.001,0.6926764,0.6927463,0.51210344,0.50968
0.001,0.69267166,0.6928473,0.5118701,0.51182
0.001,0.6926719,0.69270664,0.5124167,0.51044
0.001,0.6926173,0.692675,0.5142301,0.51304
0.001,0.6925974,0.6928471,0.51320344,0.50872
0.001,0.6926238,0.69265366,0.51319677,0.51318
0.001,0.6925328,0.692686,0.51364344,0.51256
0.001,0.6925131,0.69266355,0.5151768,0.51228
0.001,0.69241154,0.69319874,0.51400346,0.50582
0.001,0.6923812,0.6928771,0.5156834,0.50664
0.001,0.6922871,0.6928748,0.5167834,0.51104
0.001,0.6922606,0.6928181,0.5161168,0.51226
0.001,0.69221884,0.69297636,0.51463675,0.5115
0.001,0.69206357,0.6929808,0.5170435,0.51142
0.001,0.6917832,0.69211644,0.5208635,0.52178
0.001,0.6902899,0.6896814,0.53213024,0.53598
0.001,0.68800163,0.6890035,0.54263693,0.53994
0.001,0.6871024,0.68820375,0.547017,0.54434
0.001,0.6863395,0.68764126,0.54894364,0.54472
0.001,0.6858732,0.6870361,0.549137,0.54382
0.001,0.6856091,0.6874629,0.549737,0.54514
0.001,0.68502563,0.6879773,0.55191034,0.54396
0.001,0.6848554,0.68707824,0.55209035,0.54716
0.001,0.68440354,0.68645644,0.554677,0.54688
0.001,0.68399173,0.68685657,0.55613035,0.54726
0.001,0.6837192,0.6864648,0.55483705,0.54702
0.001,0.6833404,0.6867699,0.5564304,0.5471
0.001,0.68320674,0.6881461,0.5549304,0.5409
0.001,0.6828209,0.68749756,0.5575837,0.5443
0.001,0.6825661,0.6865084,0.5572904,0.548
0.001,0.6821245,0.687131,0.5581971,0.54798
0.001,0.6817911,0.69115144,0.55956376,0.53584
0.001,0.6816379,0.68679416,0.56004375,0.54466
0.001,0.68116504,0.68768483,0.5610971,0.54508
0.001,0.68097097,0.6870207,0.5610104,0.54444
0.001,0.6806714,0.6883536,0.56155044,0.54332
0.001,0.6803127,0.68737733,0.56156373,0.54766
0.001,0.6802643,0.68840706,0.56445044,0.5461
0.001,0.67981845,0.6874942,0.56375045,0.54808
0.001,0.67967623,0.68750817,0.5656571,0.54708
0.001,0.67933095,0.68891555,0.5640704,0.54538
0.001,0.6787023,0.6900438,0.56713045,0.54232
0.001,0.6784542,0.6883003,0.5661238,0.54566
0.001,0.6785401,0.69030476,0.5675771,0.54156
0.001,0.678125,0.6893558,0.56701046,0.54484
0.001,0.67810076,0.6897111,0.56745714,0.5436
0.001,0.6775366,0.68951076,0.56877714,0.54466
0.001,0.6772102,0.6895949,0.56874377,0.54246
0.001,0.6767031,0.6911478,0.5703371,0.54422
0.001,0.6763616,0.6928059,0.5697038,0.54094
0.001,0.6764224,0.6909679,0.57087046,0.54168
0.001,0.6758621,0.69008416,0.5711038,0.54582
0.001,0.67547584,0.68998003,0.5724038,0.54048
0.001,0.675356,0.6914741,0.5730505,0.5422
0.001,0.674735,0.6914139,0.5728305,0.53942
0.001,0.6747872,0.6909731,0.5741705,0.54318
0.001,0.674799,0.6956688,0.5737105,0.53996
0.001,0.674372,0.69263464,0.57421046,0.54006
0.001,0.6741344,0.6927262,0.57432383,0.54258
0.001,0.67345095,0.6916709,0.57567716,0.542
0.001,0.67342675,0.6924293,0.5755305,0.54098
0.001,0.6731497,0.6931352,0.57504386,0.53806
0.001,0.6728693,0.6922359,0.5755905,0.541
0.001,0.67212474,0.6986764,0.5788572,0.53672
0.001,0.67155755,0.6956005,0.57839054,0.53962
0.001,0.67173463,0.69701785,0.5785505,0.5382
0.001,0.67154783,0.69375825,0.58055055,0.53912
0.001,0.67104983,0.69416595,0.57920384,0.54064
0.001,0.6707651,0.69360244,0.5808172,0.53622
0.001,0.67119354,0.696,0.58048385,0.5411
0.001,0.6706761,0.69431746,0.5808239,0.53864
0.001,0.6700973,0.69530785,0.58223057,0.53938
0.001,0.6703037,0.69564736,0.5810505,0.54238
0.001,0.670006,0.69843346,0.5799172,0.54168
0.001,0.6696835,0.69599146,0.58157057,0.5417
0.001,0.6694535,0.6955464,0.58271724,0.53878
0.001,0.66897863,0.6956812,0.58387053,0.54074
0.001,0.6685399,0.6956423,0.58533055,0.5416
0.001,0.6690779,0.6963071,0.5834639,0.54202
0.001,0.66886556,0.6965358,0.58375055,0.54024
0.001,0.6681888,0.69516146,0.5841839,0.54058
0.001,0.6685558,0.69855356,0.5837306,0.53766
0.001,0.6679874,0.6989381,0.5848039,0.53996
0.001,0.6678702,0.69575524,0.58561724,0.5394
0.001,0.6673915,0.6974115,0.5862506,0.53806
0.001,0.6676665,0.6983003,0.58555055,0.53888
0.001,0.6671693,0.6977183,0.58653724,0.53736
0.001,0.6665349,0.7003325,0.5861039,0.53978
0.001,0.666953,0.69726396,0.5866972,0.5392
0.001,0.6661511,0.700126,0.5880906,0.5378
0.001,0.6662573,0.6996443,0.58679056,0.5369
0.001,0.6658203,0.70088196,0.5885039,0.53704
