learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0.001,0.67419714,0.6675421,0.57530105,0.589108
0.001,0.66293544,0.6584926,0.5985191,0.60556
0.001,0.65730953,0.6562946,0.6072091,0.608604
0.001,0.6546771,0.6558995,0.61059576,0.608124
0.001,0.6531014,0.6541087,0.6125024,0.61185
0.001,0.6516119,0.6522167,0.6145377,0.613646
0.001,0.65036917,0.6520464,0.6163297,0.614828
0.001,0.6492398,0.65074456,0.6178104,0.616044
0.001,0.64817286,0.650922,0.6190331,0.615236
0.001,0.64725816,0.6509361,0.62028843,0.616276
0.001,0.64656764,0.6506491,0.62121975,0.616664
0.001,0.6457135,0.6502272,0.62228507,0.61727
0.001,0.6452123,0.65078807,0.62290907,0.617474
0.001,0.64466906,0.648265,0.6234891,0.618998
0.001,0.6442535,0.6487468,0.62442106,0.618646
0.001,0.64349437,0.64875704,0.6253651,0.617636
0.001,0.6432311,0.6513824,0.62510043,0.6152
0.001,0.642777,0.65040207,0.6258191,0.61681
0.001,0.6424838,0.6494966,0.6265124,0.617262
0.001,0.6419428,0.64849275,0.62696975,0.619082
0.001,0.6416838,0.6498892,0.62685645,0.61712
0.001,0.64146304,0.6502606,0.62762177,0.616814
0.001,0.6410002,0.64897245,0.62746906,0.61873
0.001,0.64086694,0.64999425,0.62805307,0.617098
0.001,0.6404956,0.64938056,0.62815106,0.618374
0.001,0.6404012,0.64915174,0.62871575,0.61835
0.001,0.64007163,0.6485069,0.6290511,0.618928
0.001,0.6398486,0.648238,0.6295511,0.6197
0.001,0.6395262,0.64938956,0.62967974,0.618168
0.001,0.63943964,0.6486967,0.62977844,0.61945
0.001,0.63929385,0.6491797,0.6297511,0.619766
0.001,0.6389395,0.64875954,0.6301704,0.61829
0.001,0.63890594,0.6499024,0.63023174,0.617512
0.001,0.6386612,0.65054655,0.6306391,0.617762
0.001,0.6386121,0.6488269,0.63047576,0.619034
0.001,0.63830864,0.64866674,0.63086176,0.617914
0.001,0.6383008,0.64883983,0.6312137,0.61909
0.001,0.6380834,0.65078276,0.6312611,0.617498
0.001,0.6379268,0.648204,0.6315124,0.619654
0.001,0.63795704,0.6499234,0.63138574,0.618534
0.001,0.63769114,0.6499855,0.6319224,0.618268
0.001,0.6375942,0.6496902,0.63165176,0.618884
0.001,0.6375105,0.6502925,0.6322138,0.618002
0.001,0.6373364,0.6494941,0.63240707,0.617682
0.001,0.6374507,0.65008444,0.6316897,0.617542
0.001,0.637145,0.6498794,0.6320491,0.617618
0.001,0.6371882,0.6497977,0.63234776,0.616798
0.001,0.6370121,0.6516248,0.63275576,0.61611
0.001,0.6368829,0.65030885,0.6325198,0.618172
0.001,0.6369523,0.6491846,0.6323798,0.618006
0.001,0.6368571,0.6524439,0.6326924,0.61428
0.001,0.6367826,0.6501452,0.6329731,0.618296
0.001,0.6365836,0.64964324,0.6331811,0.617982
0.001,0.6364156,0.6498927,0.63310975,0.617966
0.001,0.63646996,0.6488015,0.6334691,0.618472
0.001,0.63640517,0.6510108,0.6333031,0.616218
0.001,0.63639605,0.6498222,0.63329977,0.618758
0.001,0.6363185,0.65041196,0.6333531,0.616752
0.001,0.6362197,0.6503694,0.6332238,0.617942
0.001,0.6361469,0.6503334,0.6337624,0.616644
0.001,0.6363327,0.64900017,0.63372445,0.618942
0.001,0.6362513,0.6486971,0.63337576,0.618362
0.001,0.63603765,0.6490168,0.6338511,0.618244
0.001,0.63605756,0.64854074,0.6335611,0.61888
0.001,0.6358508,0.65169096,0.6338384,0.616238
0.001,0.6360737,0.6510285,0.6332771,0.61736
0.001,0.63599455,0.6516535,0.6340351,0.616388
0.001,0.63612026,0.6505843,0.6334924,0.617174
0.001,0.6359802,0.6493772,0.6336824,0.6181
0.001,0.6358707,0.65030396,0.63381845,0.618168
0.001,0.63578063,0.65061074,0.63380706,0.617742
0.001,0.6356761,0.65078825,0.6339738,0.617712
0.001,0.6357381,0.6516705,0.6339284,0.617502
0.001,0.6356232,0.64938176,0.63419974,0.619388
0.001,0.6357564,0.6490271,0.6338397,0.618286
0.001,0.63568854,0.6501975,0.63381845,0.617562
0.001,0.635594,0.65018386,0.6339631,0.618644
0.001,0.6353658,0.65022236,0.6344498,0.618602
0.001,0.63530475,0.6504978,0.6343684,0.618368
0.001,0.6354498,0.65095395,0.6343104,0.617518
0.001,0.6354039,0.6500948,0.6339111,0.618024
0.001,0.63547206,0.6484082,0.6342684,0.61964
0.001,0.63538426,0.6505925,0.63438976,0.617948
0.001,0.63533443,0.6495236,0.6342658,0.618082
0.001,0.6356153,0.64997935,0.6341758,0.617778
0.001,0.6352161,0.65128696,0.6344384,0.616728
0.001,0.6352845,0.6507332,0.63433844,0.6175
0.001,0.6352501,0.6515183,0.6344231,0.61707
0.001,0.63529235,0.650228,0.63443977,0.61859
0.001,0.63520414,0.65011567,0.63471043,0.61888
0.001,0.63517034,0.65047985,0.63471043,0.617878
0.001,0.63534343,0.6513894,0.6341651,0.617416
0.001,0.63523406,0.6509114,0.63476574,0.61756
0.001,0.635254,0.64933467,0.6343224,0.618036
0.001,0.63504857,0.64910275,0.63467574,0.618906
0.001,0.63525224,0.65025616,0.6343971,0.618054
0.001,0.63513947,0.64943933,0.6345604,0.61862
0.001,0.635149,0.64917445,0.6343804,0.61828
0.001,0.6350428,0.6536797,0.6346324,0.61442
0.001,0.63481957,0.65048784,0.6351124,0.617606
