learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0.001,0.67334765,0.6664903,0.5793744,0.592168
0.001,0.66710687,0.66436654,0.59121907,0.59511
0.001,0.66504425,0.6622363,0.5943104,0.598288
0.001,0.659172,0.6515826,0.6036811,0.61341
0.001,0.6525309,0.64733607,0.6128957,0.618956
0.001,0.6498694,0.64581966,0.61572707,0.62038
0.001,0.6482958,0.646175,0.6175231,0.621212
0.001,0.64718217,0.6465735,0.61860174,0.620762
0.001,0.6464291,0.6434747,0.6195264,0.622208
0.001,0.6455796,0.64358586,0.6206264,0.624316
0.001,0.6447201,0.64154685,0.6215178,0.625628
0.001,0.64368314,0.6423507,0.62302643,0.6236
0.001,0.64258415,0.6399605,0.6244284,0.626858
0.001,0.6399747,0.63008,0.6278051,0.639108
0.001,0.627501,0.61346185,0.6426651,0.657478
0.001,0.6194486,0.6103919,0.65149176,0.660904
0.001,0.6156032,0.6032168,0.6551291,0.666988
0.001,0.612019,0.59883785,0.6589371,0.672178
0.001,0.6092398,0.60351586,0.6614211,0.66783
0.001,0.60628724,0.59326345,0.66414714,0.676224
0.001,0.6043448,0.5917718,0.6655698,0.677252
0.001,0.60291773,0.58945227,0.6675211,0.680164
0.001,0.6012626,0.58882034,0.6690938,0.680484
0.001,0.6001327,0.586985,0.66993576,0.681616
0.001,0.5986653,0.5842403,0.67124844,0.684916
0.001,0.5973786,0.58301526,0.6721998,0.684976
0.001,0.5954404,0.59310526,0.67402846,0.67927
0.001,0.59331375,0.5905445,0.67583776,0.677532
0.001,0.5915092,0.57412255,0.67718714,0.692456
0.001,0.58987015,0.5758325,0.6788465,0.690954
0.001,0.58897805,0.5825591,0.6797158,0.684824
0.001,0.5877608,0.57353735,0.6805258,0.693864
0.001,0.58654267,0.57262355,0.6817018,0.693014
0.001,0.5856099,0.5738537,0.6827651,0.692754
0.001,0.5843737,0.5661878,0.6834598,0.69856
0.001,0.58408374,0.5708315,0.68389845,0.695548
0.001,0.58305794,0.56391305,0.68478644,0.701402
0.001,0.58217204,0.56324756,0.68551177,0.701712
0.001,0.5810655,0.5675587,0.6864105,0.697956
0.001,0.58001715,0.5601679,0.6873485,0.703472
0.001,0.5795585,0.56268245,0.68753046,0.705136
0.001,0.5787302,0.56304973,0.68808514,0.701314
0.001,0.5776766,0.5609162,0.6892338,0.702748
0.001,0.5765074,0.5621747,0.6905278,0.702596
0.001,0.5757653,0.56022686,0.6909031,0.703254
0.001,0.575113,0.5566311,0.6916318,0.706026
0.001,0.5741598,0.5595952,0.6922325,0.703818
0.001,0.57299435,0.5504918,0.6929005,0.711312
0.001,0.57232285,0.5619656,0.6938371,0.705762
0.001,0.5714977,0.5523228,0.6943685,0.710322
0.001,0.5706456,0.55056924,0.6949871,0.711156
0.001,0.56962603,0.5581399,0.6961218,0.704784
0.001,0.56841445,0.54861605,0.69722044,0.711426
0.001,0.567544,0.54356307,0.6977478,0.716556
0.001,0.566512,0.55369574,0.6987851,0.709016
0.001,0.5657203,0.5562516,0.6992651,0.707786
0.001,0.56484276,0.5508549,0.70004845,0.711898
0.001,0.56396437,0.54512644,0.70088714,0.715758
0.001,0.56265104,0.53324884,0.70177245,0.724364
0.001,0.5623548,0.54375315,0.7018025,0.717102
0.001,0.5614041,0.5364026,0.70267916,0.72208
0.001,0.56080174,0.53638345,0.70327646,0.72266
0.001,0.5598024,0.54980826,0.70403844,0.71168
