epochs,learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0,0.001,0.63133353,0.5558547,0.57929146,0.5903352
1,0.001,0.62121594,0.5448344,0.59811616,0.6110152
2,0.001,0.6119681,0.5390344,0.6119295,0.6187552
3,0.001,0.6087524,0.5366072,0.6167528,0.62312126
4,0.001,0.606667,0.5356015,0.61918014,0.6240873
5,0.001,0.60518295,0.53289896,0.6210855,0.62782925
6,0.001,0.60334414,0.531386,0.6236802,0.63309324
7,0.001,0.59740424,0.5218155,0.6315708,0.6453113
8,0.001,0.5883465,0.5117679,0.6430082,0.6577553
9,0.001,0.5832349,0.50656825,0.6486229,0.6628233
10,0.001,0.5788783,0.5031775,0.6532862,0.6670833
11,0.001,0.5751369,0.5057651,0.6574682,0.66362333
12,0.001,0.5723042,0.4997408,0.6601209,0.67120737
13,0.001,0.570139,0.5035641,0.66250557,0.6664013
14,0.001,0.56813854,0.49853593,0.6645796,0.67268735
15,0.001,0.56538284,0.49324584,0.6672449,0.67747533
16,0.001,0.5621273,0.5009858,0.6706429,0.66706336
17,0.001,0.5603008,0.48450282,0.6726596,0.68697137
18,0.001,0.5586846,0.4845134,0.67380226,0.6880334
19,0.001,0.55673623,0.48122042,0.6758422,0.6900494
20,0.001,0.5550018,0.48230118,0.6775869,0.68855536
21,0.001,0.5527079,0.47886273,0.67981225,0.6914934
22,0.001,0.5498006,0.47179693,0.6825589,0.6990074
23,0.001,0.5473392,0.4691012,0.6850369,0.7031234
24,0.001,0.54525787,0.46511585,0.68683755,0.7060774
25,0.001,0.5425586,0.46387982,0.6896016,0.7074234
26,0.001,0.5401137,0.4590846,0.6915416,0.7125634
27,0.001,0.53740776,0.46045813,0.69390094,0.7106174
28,0.001,0.534942,0.4556474,0.6962369,0.71641743
29,0.001,0.53257376,0.45097318,0.6986456,0.72023547
30,0.001,0.5305967,0.44917682,0.70014095,0.72082746
31,0.001,0.5284323,0.45530808,0.7022616,0.71575946
32,0.001,0.526099,0.4522159,0.7040556,0.7205814
33,0.001,0.52460665,0.43891647,0.7055396,0.7311355
34,0.001,0.52271277,0.44689527,0.7067563,0.7238454
35,0.001,0.52119255,0.43634266,0.70811564,0.7335855
36,0.001,0.51961774,0.43925655,0.7101763,0.7304295
37,0.001,0.5184826,0.44589967,0.7105763,0.72596145
38,0.001,0.51673424,0.4308264,0.7120963,0.7384475
39,0.001,0.5135204,0.43663284,0.7151383,0.7330075
40,0.001,0.5115489,0.4264483,0.71698296,0.7413375
41,0.001,0.507068,0.4209055,0.72049165,0.7468595
42,0.001,0.5026444,0.41494057,0.72412366,0.7513575
43,0.001,0.4987176,0.42948163,0.72753894,0.7390755
44,0.001,0.49512175,0.40196073,0.7301023,0.76240754
45,0.001,0.49251068,0.41541672,0.732449,0.7505775
46,0.001,0.48983264,0.4019419,0.7347203,0.7624095
47,0.001,0.48730874,0.4088924,0.736475,0.75612754
48,0.001,0.48494554,0.41971105,0.738527,0.7479855
49,0.001,0.48317388,0.39614895,0.739847,0.7668995
50,0.001,0.48131323,0.4037699,0.74155897,0.7605695
51,0.001,0.47881272,0.39824927,0.7430843,0.7677915
52,0.001,0.47675422,0.387914,0.744753,0.77455753
53,0.001,0.47552052,0.39746404,0.74540365,0.76596755
54,0.001,0.4737573,0.39741313,0.74676365,0.76619554
55,0.001,0.47259337,0.4153744,0.7473623,0.7519495
56,0.001,0.47155187,0.3883088,0.748745,0.77343154
57,0.001,0.47022626,0.39526686,0.74938035,0.76720953
58,0.001,0.46935916,0.4060017,0.75004834,0.7575715
59,0.001,0.46817845,0.3862874,0.7513163,0.7759436
60,0.001,0.4670401,0.38971326,0.751571,0.77221555
61,0.001,0.4657826,0.39363617,0.752771,0.7702795
62,0.001,0.46474203,0.39362848,0.75390166,0.7673075
63,0.001,0.46298707,0.3935768,0.754963,0.7688555
64,0.001,0.46168843,0.3949786,0.755867,0.76705354
65,0.001,0.4605667,0.3770946,0.75675035,0.78294754
66,0.001,0.45906514,0.37673998,0.75802636,0.7822816
67,0.001,0.4574987,0.3969929,0.758897,0.76789355
68,0.001,0.45711616,0.3846959,0.759403,0.7761456
69,0.001,0.45557722,0.3758108,0.76039433,0.78332955
70,0.001,0.45487434,0.36409774,0.760859,0.79288757
71,0.001,0.4534945,0.37716523,0.7618297,0.78236955
72,0.001,0.4527198,0.37266585,0.7627997,0.78484756
73,0.001,0.4515532,0.36705744,0.763131,0.78943956
74,0.001,0.45088232,0.38358733,0.7642017,0.7795796
75,0.001,0.44979084,0.373722,0.764675,0.78485155
76,0.001,0.44940618,0.36642832,0.76497567,0.79072756
77,0.001,0.44857413,0.37498513,0.765473,0.7821916
78,0.001,0.4475247,0.37272748,0.76617634,0.7859176
79,0.001,0.4466144,0.36010346,0.7665977,0.7952556
80,0.001,0.445829,0.35790095,0.767223,0.7961876
81,0.001,0.44513428,0.3657984,0.76813304,0.7904936
82,0.001,0.44429204,0.3687845,0.76879036,0.78728557
83,0.001,0.44382483,0.35484877,0.7684717,0.7993116
84,0.001,0.44349286,0.35706383,0.76902103,0.79806757
85,0.001,0.44265094,0.37081757,0.769607,0.7869956
86,0.001,0.44150332,0.3603466,0.7703617,0.7946036
87,0.001,0.44096753,0.36584032,0.7711417,0.7907116
88,0.001,0.4404823,0.38114813,0.7710977,0.78094757
89,0.001,0.4396561,0.36625335,0.7720864,0.7890056
90,0.001,0.43918043,0.35605493,0.7718157,0.7982636
91,0.001,0.43881148,0.3658992,0.7723977,0.78894156
