epochs,learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
250,0.001,0.37914154,0.30399978,0.8117791,0.8343437
251,0.001,0.37898478,0.2969828,0.8120704,0.83954567
252,0.001,0.3780716,0.29819387,0.8126317,0.83869165
253,0.001,0.37757897,0.29444498,0.8132098,0.8413297
254,0.001,0.3770249,0.29526654,0.8132224,0.8401217
255,0.001,0.37729648,0.2939674,0.81320506,0.8416557
256,0.001,0.37619138,0.29979044,0.81352973,0.8380977
257,0.001,0.3760951,0.29962447,0.81407976,0.8370517
258,0.001,0.37574676,0.29835397,0.8143371,0.83848566
259,0.001,0.375236,0.2921541,0.8146764,0.8431437
260,0.001,0.3748702,0.2892887,0.81500906,0.8451537
261,0.001,0.3746919,0.30749622,0.8147831,0.8333617
262,0.001,0.37408015,0.2940436,0.8154044,0.84133565
263,0.001,0.37355715,0.30753663,0.8152631,0.83146966
264,0.001,0.3739673,0.30550382,0.81520176,0.83545166
265,0.001,0.37277576,0.29140097,0.8159684,0.8434217
266,0.001,0.37274835,0.30651656,0.8161098,0.8323197
267,0.001,0.37221622,0.29399437,0.8165817,0.8410277
268,0.001,0.372103,0.30058166,0.8166104,0.8371777
269,0.001,0.37180945,0.2909554,0.81664044,0.84364367
270,0.001,0.3712786,0.2832883,0.8167004,0.8484577
271,0.001,0.3713027,0.30069846,0.8169791,0.83741367
272,0.001,0.37079358,0.28953978,0.81732106,0.84447366
273,0.001,0.37016276,0.28598276,0.8179391,0.84714967
274,0.001,0.36992434,0.31039965,0.8177511,0.83260566
275,0.001,0.3695645,0.2898952,0.81844443,0.8442397
276,0.001,0.3698178,0.28849977,0.8176924,0.8445197
277,0.001,0.36913064,0.29061112,0.81808174,0.8435997
278,0.001,0.3691347,0.2889966,0.81833243,0.8443297
279,0.001,0.36852247,0.2893108,0.81815845,0.8449077
280,0.001,0.36824015,0.28888875,0.81873375,0.8448597
281,0.001,0.36812535,0.2934,0.81888044,0.8415757
282,0.001,0.36746758,0.29168713,0.81940776,0.84316766
283,0.001,0.36754867,0.28498006,0.8193504,0.8474657
284,0.001,0.36721525,0.30379984,0.8194858,0.83595365
285,0.001,0.36704955,0.2951464,0.81954044,0.8403497
286,0.001,0.36653352,0.29592776,0.8198511,0.8411937
287,0.001,0.3663673,0.28805187,0.8201511,0.8464337
288,0.001,0.36577833,0.29325357,0.8202991,0.8409937
289,0.001,0.36612508,0.29520923,0.8200951,0.8399337
290,0.001,0.36592966,0.2887581,0.8201084,0.8444997
291,0.001,0.36539173,0.2829895,0.82051975,0.8480577
292,0.001,0.36503053,0.28352806,0.8207851,0.8491877
293,0.001,0.3646104,0.3060817,0.8209384,0.8342857
294,0.001,0.364596,0.3110259,0.8208264,0.8339497
295,0.001,0.36442792,0.28161502,0.82109374,0.8496737
296,0.001,0.36388662,0.2803598,0.8212871,0.8498537
297,0.001,0.36394745,0.3117301,0.8211684,0.83419365
298,0.001,0.36374623,0.29467708,0.8213711,0.8415037
299,0.001,0.36363336,0.28177512,0.8215651,0.8505257
300,0.001,0.36314082,0.29292583,0.8218991,0.8468997
301,0.001,0.36301723,0.28607565,0.82207644,0.8468017
302,0.001,0.36318827,0.28426373,0.82166374,0.8478957
303,0.001,0.362795,0.27795145,0.8221951,0.8520017
304,0.001,0.36222243,0.29170862,0.8226724,0.8415977
305,0.001,0.36234403,0.29263484,0.82213175,0.8409837
306,0.001,0.3619334,0.2813967,0.82261443,0.8494037
307,0.001,0.36169314,0.29551807,0.82270175,0.83990365
308,0.001,0.36177075,0.29171616,0.8226404,0.84403366
309,0.001,0.36140168,0.2903187,0.82275176,0.8436517
310,0.001,0.3613199,0.2799384,0.82267976,0.8505077
311,0.001,0.36105055,0.2871729,0.82308245,0.8456237
312,0.001,0.36074463,0.29780596,0.8228118,0.8376697
313,0.001,0.3604218,0.28748667,0.82328576,0.8467617
314,0.001,0.36052424,0.28814417,0.82376045,0.8463857
315,0.001,0.36043066,0.27701336,0.8237844,0.8529197
316,0.001,0.35982648,0.28571007,0.82404774,0.8463117
317,0.001,0.3598822,0.31032503,0.8239878,0.83224165
318,0.001,0.35939294,0.2754174,0.82428044,0.8533797
319,0.001,0.35957015,0.27880225,0.8244898,0.8515677
320,0.001,0.35950512,0.276345,0.8241524,0.8528917
321,0.001,0.359188,0.28780758,0.82433176,0.84502167
322,0.001,0.35883543,0.29320544,0.8247231,0.8427517
323,0.001,0.35871744,0.27520674,0.8244751,0.8539577
324,0.001,0.35849062,0.2818246,0.8244831,0.8534817
325,0.001,0.35831365,0.28098896,0.8247864,0.8491857
326,0.001,0.35850772,0.287821,0.8242644,0.8450857
327,0.001,0.3580663,0.27472723,0.8252618,0.8537897
328,0.001,0.35773185,0.28380558,0.82491845,0.8497237
329,0.001,0.3579043,0.2773207,0.8249718,0.8517137
330,0.001,0.35751703,0.27931845,0.8252611,0.8504677
331,0.001,0.35712504,0.27608266,0.82527846,0.8536917
332,0.001,0.35707122,0.27527222,0.82552046,0.8531097
333,0.001,0.357532,0.27327877,0.8254211,0.8553217
334,0.001,0.35648295,0.2732809,0.82612246,0.8546877
335,0.001,0.35625765,0.28079417,0.82614046,0.8510717
336,0.001,0.3562043,0.2805704,0.8260524,0.8496937
337,0.001,0.35664755,0.28183407,0.82566446,0.8494697
338,0.001,0.35627428,0.30401656,0.8256031,0.83693767
339,0.001,0.35637516,0.27848974,0.82570577,0.8513097
340,0.001,0.35553804,0.27105078,0.8265031,0.8572297
341,0.001,0.3557856,0.27575445,0.8261864,0.8540297
342,0.001,0.35565174,0.2775633,0.8262678,0.8520957
343,0.001,0.3551599,0.2741303,0.8266538,0.8541777
344,0.001,0.354924,0.27004838,0.82682174,0.85721374
345,0.001,0.35502994,0.2779094,0.8265491,0.8517557
346,0.001,0.35510492,0.28332242,0.82663774,0.8492337
347,0.001,0.354933,0.292244,0.8271311,0.84415567
348,0.001,0.35473734,0.27780056,0.8269058,0.8516897
349,0.001,0.35425413,0.26623362,0.8274678,0.8600037
350,0.001,0.35432488,0.27930313,0.82723844,0.8524517
351,0.001,0.35424024,0.2723763,0.8271011,0.8551377
352,0.001,0.35434118,0.27342725,0.8272224,0.8550877
353,0.001,0.3537998,0.27407554,0.82745713,0.8544717
354,0.001,0.35357654,0.29213452,0.82739174,0.8471977
355,0.001,0.3539295,0.27209523,0.82729113,0.85585374
356,0.001,0.35368255,0.27477807,0.8276318,0.8538317
357,0.001,0.35353246,0.28782725,0.82773244,0.84634566
358,0.001,0.3531835,0.2722593,0.8278964,0.85619974
359,0.001,0.35358286,0.27305955,0.8277278,0.8551897
360,0.001,0.353112,0.27556238,0.8281671,0.8525557
361,0.001,0.35284433,0.26933143,0.8280191,0.8577997
362,0.001,0.35294524,0.2767932,0.8280058,0.8525997
363,0.001,0.3527337,0.27657866,0.8279031,0.8519017
364,0.001,0.35266098,0.27030778,0.82813644,0.85653174
365,0.001,0.35241038,0.26738673,0.82831377,0.8588037
366,0.001,0.3526121,0.2731548,0.8284998,0.8545777
367,0.001,0.3519124,0.27979133,0.82870775,0.8505557
368,0.001,0.35200188,0.28133702,0.82856244,0.8517917
369,0.001,0.3522834,0.29296705,0.8284498,0.8420437
370,0.001,0.3516215,0.2753705,0.82882047,0.8532737
371,0.001,0.35185015,0.27246544,0.8284771,0.85568774
372,0.001,0.35123706,0.2684893,0.82876647,0.8579517
373,0.001,0.3515463,0.2751182,0.82878643,0.8528937
374,0.001,0.35146353,0.29355872,0.8290018,0.8436897
375,0.001,0.351455,0.28619382,0.82851046,0.8447097
376,0.001,0.35111058,0.278989,0.8291084,0.8504197
377,0.001,0.3510537,0.28958488,0.8290364,0.8452137
378,0.001,0.3510856,0.27528375,0.82902044,0.8532577
379,0.001,0.35118556,0.27361447,0.8288938,0.8547077
380,0.001,0.35122678,0.28464308,0.8292164,0.8494017
381,0.001,0.3508893,0.27382946,0.82934844,0.8538557
382,0.001,0.35059944,0.2657642,0.82933044,0.85957575
383,0.001,0.35048395,0.27234977,0.8294391,0.8556537
384,0.001,0.3504299,0.27455884,0.8294431,0.8564277
385,0.001,0.35015658,0.2771073,0.82954776,0.8550177
386,0.001,0.34961504,0.27199298,0.82995176,0.8549617
387,0.001,0.34990868,0.26800567,0.8298738,0.8582657
388,0.001,0.34995657,0.26778516,0.8299024,0.8584737
389,0.001,0.3499438,0.28569874,0.8298898,0.8490297
390,0.001,0.3496521,0.28185225,0.8301471,0.8487857
391,0.001,0.35035902,0.27159432,0.82960314,0.8558777
392,0.001,0.34942174,0.29018918,0.82999843,0.8464157
393,0.001,0.3496108,0.28054667,0.82988113,0.8517377
394,0.001,0.34953904,0.26500514,0.82986844,0.86013174
395,0.001,0.3496231,0.27663693,0.83011776,0.8516117
396,0.001,0.34901503,0.26829374,0.83057714,0.8589477
397,0.001,0.34922546,0.26708907,0.8304991,0.8576797
398,0.001,0.3489582,0.28054774,0.83052313,0.8547757
399,0.001,0.34887296,0.27029422,0.83031046,0.8568157
400,0.001,0.348861,0.26733232,0.8306191,0.85948974
401,0.001,0.34866858,0.26255727,0.83048844,0.8615897
402,0.001,0.3487975,0.2632964,0.83044976,0.8612877
403,0.001,0.34854007,0.27957633,0.83078974,0.8508377
404,0.001,0.34854388,0.2660507,0.83095443,0.8589457
405,0.001,0.34831706,0.27669194,0.83094645,0.8547077
406,0.001,0.3479116,0.2817001,0.83088976,0.8499677
407,0.001,0.34796157,0.27285326,0.83093244,0.8551857
408,0.001,0.34811285,0.28166708,0.8309198,0.8513497
409,0.001,0.34820116,0.26545265,0.83058774,0.85996974
410,0.001,0.34824067,0.27647436,0.8306664,0.85253173
411,0.001,0.3475257,0.29391575,0.8312991,0.84595966
412,0.001,0.3477826,0.2717284,0.8312558,0.8553137
413,0.001,0.34786355,0.275958,0.8312391,0.8540077
414,0.001,0.34767443,0.26218972,0.8315078,0.8617397
415,0.001,0.3470751,0.26647255,0.83151513,0.8592617
416,0.001,0.34755823,0.26926306,0.8312338,0.8574597
417,0.001,0.34786016,0.26864392,0.8308451,0.8573817
418,0.001,0.3469806,0.2683313,0.83154577,0.8586017
419,0.001,0.34735137,0.27894288,0.83164775,0.8536757
420,0.001,0.3473353,0.2657682,0.83132577,0.8598017
421,0.001,0.3467883,0.26724547,0.8316251,0.8588897
422,0.001,0.34670487,0.27662724,0.8317831,0.8518557
423,0.001,0.34688026,0.27546817,0.83167046,0.8547577
424,0.001,0.34652695,0.26858672,0.83176446,0.8577237
425,0.001,0.3463972,0.26993734,0.83203447,0.8565937
426,0.001,0.34675848,0.26391748,0.8316444,0.8607637
427,0.001,0.3465684,0.26329058,0.8317844,0.8612997
428,0.001,0.34646273,0.26841912,0.8319678,0.8584017
429,0.001,0.34649476,0.26512775,0.83163244,0.86031175
430,0.001,0.34619132,0.28919467,0.83221513,0.8494117
431,0.001,0.3463466,0.27180728,0.8319598,0.85578173
432,0.001,0.34588388,0.26186877,0.8321591,0.86253774
433,0.001,0.34612113,0.2611852,0.83218443,0.86300975
434,0.001,0.3458521,0.26758048,0.83222246,0.8599997
435,0.001,0.34610534,0.29184946,0.8320971,0.84452367
436,0.001,0.34603712,0.26546773,0.83227444,0.86077374
437,0.001,0.3460139,0.264511,0.8321258,0.8602137
438,0.001,0.3456498,0.27333593,0.8323811,0.8548297
439,0.001,0.34569243,0.26732582,0.83204776,0.8589977
440,0.001,0.3456357,0.2606644,0.83239377,0.8629177
441,0.001,0.34552556,0.26542526,0.83226043,0.8596477
442,0.001,0.34538892,0.27906898,0.83251977,0.8534917
443,0.001,0.34530184,0.26432458,0.8324751,0.8603457
444,0.001,0.34511834,0.26319686,0.83269644,0.8612877
445,0.001,0.34528172,0.26334128,0.8328658,0.86139375
446,0.001,0.34519726,0.26789516,0.8323491,0.85788774
447,0.001,0.34485412,0.25937912,0.8327671,0.8642417
448,0.001,0.34492156,0.26135516,0.83286244,0.86332375
449,0.001,0.34460843,0.26153946,0.83318776,0.8624597
