epochs,learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0,0.001,0.64913213,0.5748004,0.5174213,0.531908
1,0.001,0.6467501,0.57489413,0.5330833,0.531944
2,0.001,0.645946,0.5733701,0.536846,0.54055
3,0.001,0.6451179,0.5725015,0.5407067,0.54503
4,0.001,0.6446631,0.57223654,0.54248667,0.545374
5,0.001,0.64423233,0.57196856,0.54392266,0.546488
6,0.001,0.64404404,0.57297385,0.54483265,0.545742
7,0.001,0.6439091,0.57136387,0.54533464,0.549544
8,0.001,0.6438237,0.57163805,0.545562,0.54834
9,0.001,0.643713,0.57192665,0.54599065,0.548432
10,0.001,0.6436529,0.5714333,0.54636,0.548468
11,0.001,0.64360845,0.5714557,0.54634136,0.549088
12,0.001,0.6435236,0.5711922,0.5464567,0.550062
13,0.001,0.6435116,0.5717125,0.5466487,0.54751
14,0.001,0.64346284,0.5712057,0.5468007,0.550046
15,0.001,0.64347893,0.5720659,0.5467233,0.547294
16,0.001,0.6434102,0.57115716,0.54717934,0.549634
17,0.001,0.6433648,0.5714756,0.547228,0.548174
18,0.001,0.64336455,0.5715252,0.547632,0.548572
19,0.001,0.64336365,0.57222587,0.54709667,0.547404
20,0.001,0.64335346,0.5716307,0.54732734,0.547458
21,0.001,0.6433545,0.57134074,0.54700935,0.549196
22,0.001,0.6433044,0.57223016,0.547696,0.54553
23,0.001,0.6432933,0.5727149,0.54753464,0.543756
24,0.001,0.6432676,0.57123095,0.54742664,0.549768
25,0.001,0.6432642,0.5711132,0.547626,0.55001
26,0.001,0.6432261,0.57099146,0.54796666,0.55054
27,0.001,0.6432312,0.5722603,0.547588,0.546962
28,0.001,0.64325273,0.5711681,0.54737735,0.549818
29,0.001,0.6432246,0.5713517,0.5474967,0.54895
30,0.001,0.64319015,0.5713351,0.5480087,0.550742
31,0.001,0.6431822,0.5723991,0.54778665,0.545554
32,0.001,0.6431869,0.5715539,0.54746133,0.54826
33,0.001,0.64317137,0.57152086,0.5480367,0.549158
34,0.001,0.6431722,0.5715319,0.5476,0.548412
35,0.001,0.64312035,0.57132727,0.54819465,0.549206
36,0.001,0.64313614,0.57128346,0.5480307,0.550566
37,0.001,0.6431006,0.57150036,0.548212,0.550442
38,0.001,0.6432133,0.5713455,0.54802,0.548942
39,0.001,0.6430649,0.5712743,0.548592,0.550724
40,0.001,0.6430037,0.5708607,0.5485427,0.551574
41,0.001,0.6428775,0.57136035,0.54893064,0.549404
42,0.001,0.64278185,0.57080936,0.549396,0.552156
43,0.001,0.6426082,0.5703896,0.5496153,0.55349
44,0.001,0.64226073,0.57028157,0.55068135,0.553382
45,0.001,0.6416677,0.570743,0.552676,0.552286
46,0.001,0.64110947,0.56907386,0.55444866,0.557062
47,0.001,0.6406557,0.57023424,0.555832,0.55303
48,0.001,0.640267,0.5694647,0.5569827,0.556102
