epochs,learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0,0.0014,0.6483647,0.57668287,0.521706,0.522454
1,0.0014,0.6461645,0.5750548,0.533886,0.525796
2,0.0014,0.6452355,0.57245016,0.5378067,0.543286
3,0.0014,0.6444575,0.5716271,0.5411713,0.546848
4,0.0014,0.6440269,0.571533,0.5431693,0.547286
5,0.0014,0.64375925,0.5712258,0.54387,0.54784
6,0.0014,0.6435484,0.5712872,0.54490066,0.54855
7,0.0014,0.6434532,0.5714741,0.5450507,0.547106
8,0.0014,0.64340293,0.5712909,0.5455833,0.549412
9,0.0014,0.6433153,0.5718648,0.54565465,0.547222
10,0.0014,0.6432468,0.57089937,0.5462833,0.549392
11,0.0014,0.6431949,0.5726913,0.54615736,0.540022
12,0.0014,0.64311767,0.57101125,0.54602534,0.54847
13,0.0014,0.6431235,0.57103676,0.5462807,0.548754
14,0.0014,0.6430726,0.57087564,0.54628,0.549714
15,0.0014,0.64306766,0.57116824,0.5467707,0.549226
16,0.0014,0.6430344,0.5716646,0.5468953,0.546754
17,0.0014,0.6429982,0.57140595,0.5467467,0.546898
18,0.0014,0.64300907,0.5726682,0.54681534,0.540808
19,0.0014,0.64294815,0.5719116,0.547176,0.549758
20,0.0014,0.6429311,0.570968,0.54747534,0.549776
21,0.0014,0.64297724,0.57093406,0.546682,0.549172
22,0.001,0.64273053,0.5720885,0.5476133,0.545356
23,0.001,0.6426981,0.57118845,0.54817134,0.547902
24,0.001,0.64270276,0.5718224,0.54781264,0.547154
25,0.001,0.6426709,0.5706739,0.5480087,0.550312
26,0.001,0.6426636,0.5708119,0.548138,0.550036
27,0.001,0.6426598,0.5709416,0.5477987,0.549826
28,0.001,0.64259666,0.57066387,0.548168,0.550188
29,0.001,0.6426673,0.5708172,0.54776734,0.549954
30,0.001,0.6426263,0.5707531,0.5476447,0.549702
31,0.001,0.64262015,0.57059777,0.5481513,0.550052
32,0.001,0.6426204,0.57095647,0.54805136,0.549648
33,0.001,0.64261514,0.5709021,0.5482853,0.54931
34,0.001,0.6425981,0.5706781,0.5485027,0.550034
35,0.001,0.6425802,0.5706862,0.54798865,0.550114
36,0.001,0.6425683,0.57105625,0.5482107,0.548058
37,0.001,0.6425385,0.5706394,0.54831666,0.550172
38,0.001,0.6425066,0.5709811,0.548468,0.548678
