epochs,learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0,0.001,0.6489567,0.43169433,0.51940596,0.52787
1,0.001,0.64687216,0.43014553,0.532314,0.54050803
2,0.001,0.6457534,0.4298531,0.53741395,0.543344
3,0.001,0.64484406,0.4292041,0.54147667,0.544442
4,0.001,0.644439,0.4288017,0.5428427,0.548028
5,0.001,0.64413834,0.43036103,0.544296,0.539496
6,0.001,0.64405966,0.42901778,0.54474604,0.546216
7,0.001,0.6439488,0.4290601,0.5451287,0.545406
8,0.001,0.6438607,0.42857003,0.54551935,0.548892
9,0.001,0.6437919,0.42854518,0.54522735,0.549104
10,0.001,0.643693,0.4284064,0.546252,0.549266
11,0.001,0.6436685,0.428348,0.54622334,0.54936004
12,0.001,0.6436307,0.42898923,0.54592264,0.545482
13,0.001,0.6435686,0.42851627,0.54639065,0.549896
14,0.001,0.6436039,0.4286136,0.54583335,0.547988
15,0.001,0.6435592,0.42861807,0.54655004,0.548982
16,0.001,0.64347064,0.42845392,0.5466467,0.54988396
17,0.001,0.6434486,0.4283676,0.54710734,0.549546
18,0.001,0.64344454,0.4284465,0.5468827,0.54942405
19,0.001,0.6434175,0.42829514,0.54695,0.550134
20,0.001,0.6434111,0.42846182,0.5469313,0.54872
21,0.001,0.64339507,0.42850888,0.54701805,0.54937804
22,0.001,0.6433952,0.42875004,0.5470873,0.546866
23,0.001,0.6433432,0.42845595,0.5471647,0.548578
24,0.001,0.64334106,0.42840028,0.547004,0.548978
25,0.001,0.64333975,0.42848277,0.54744136,0.54876
26,0.001,0.64329743,0.42856663,0.547242,0.54921
27,0.001,0.64328617,0.42867362,0.54703933,0.54801
28,0.001,0.64325917,0.42853606,0.5475907,0.549132
29,0.001,0.6432585,0.42823175,0.547288,0.549844
30,0.001,0.64328563,0.42845386,0.5473073,0.549322
31,0.001,0.64326036,0.42828307,0.5469934,0.54992
32,0.001,0.64325666,0.42834198,0.5474427,0.54979
33,0.001,0.6432237,0.42857546,0.547418,0.54907
34,0.001,0.6431906,0.42824155,0.5478567,0.550026
35,0.001,0.64322233,0.42847407,0.547378,0.549212
36,0.001,0.64321005,0.42834842,0.5477513,0.54975
37,0.001,0.643191,0.42829132,0.548038,0.549706
38,0.001,0.64317524,0.4283554,0.54784936,0.55007
39,0.001,0.64317256,0.4282046,0.5475533,0.550564
40,0.001,0.64317626,0.42877024,0.54766,0.548024
41,0.001,0.6431564,0.42857024,0.5480107,0.54821396
42,0.001,0.6431759,0.42824072,0.54778934,0.55003
43,0.001,0.6431266,0.42853177,0.54770935,0.548496
44,0.001,0.6431318,0.4282567,0.54801065,0.55014
45,0.001,0.6431558,0.42831463,0.547704,0.549818
46,0.001,0.643116,0.42822677,0.54791534,0.550078
47,0.001,0.6431206,0.4287935,0.5476266,0.546398
48,0.001,0.6431073,0.42838892,0.5480407,0.54889
49,0.001,0.64307606,0.42834097,0.54798,0.54968
50,0.001,0.64311457,0.4288004,0.54777336,0.54798806
51,0.001,0.64309436,0.42837477,0.5477613,0.54934
52,0.001,0.6430576,0.42861143,0.5481707,0.547772
53,0.001,0.643081,0.42890093,0.54776466,0.546576
54,0.001,0.64306855,0.42842257,0.5477887,0.548964
55,0.001,0.6430596,0.4282366,0.5479567,0.55018604
56,0.001,0.6430297,0.4284363,0.548386,0.54954004
57,0.001,0.6430403,0.42834115,0.5480927,0.549398
58,0.001,0.64307964,0.42829454,0.547714,0.55016804
59,0.001,0.6430521,0.42864066,0.54797,0.549504
60,0.001,0.6430296,0.4284823,0.5484773,0.548676
61,0.001,0.64300454,0.42826194,0.54862267,0.549724
62,0.001,0.64299273,0.428271,0.5483626,0.54969
63,0.001,0.64303386,0.42855048,0.548354,0.548962
64,0.001,0.6430286,0.42831928,0.5479573,0.549168
65,0.001,0.6429909,0.4284646,0.54867,0.54914796
66,0.001,0.6429883,0.42826447,0.5482107,0.549886
67,0.001,0.64295906,0.42836338,0.54823935,0.549628
68,0.001,0.6429639,0.42847526,0.54831934,0.54954
