epochs,learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0,0.0014,0.64859396,0.43062413,0.52169204,0.53561604
1,0.0014,0.64604974,0.4294776,0.5362613,0.545586
2,0.0014,0.64491475,0.42995948,0.5414493,0.54163396
3,0.0014,0.6443591,0.42881364,0.5431707,0.54695404
4,0.0014,0.6441304,0.428703,0.54431796,0.54747605
5,0.0014,0.6439345,0.42932707,0.54496264,0.54288197
6,0.0014,0.64389145,0.4292116,0.54515135,0.54445
7,0.0014,0.64383996,0.4289322,0.5453813,0.546718
8,0.0014,0.6437442,0.4295267,0.54586,0.544756
9,0.0014,0.6436559,0.4286068,0.54578066,0.54904
10,0.0014,0.64357555,0.42848438,0.54577136,0.549016
11,0.0014,0.6435973,0.42835677,0.5464374,0.54948
12,0.0014,0.6435053,0.42916366,0.54649866,0.54593396
13,0.0014,0.6434833,0.42869085,0.5466113,0.54926395
14,0.0014,0.6435202,0.42866915,0.54627204,0.54856205
15,0.0014,0.6434336,0.4283733,0.54700065,0.549476
16,0.0014,0.6433579,0.42859635,0.5470507,0.54964805
17,0.0014,0.64335704,0.42868108,0.54679537,0.54919004
18,0.0014,0.64330435,0.4285559,0.5473013,0.549688
19,0.0014,0.64329165,0.4285468,0.54711133,0.54849803
20,0.0014,0.64323986,0.42843825,0.54726803,0.549254
21,0.0014,0.6432084,0.4285269,0.5473254,0.548856
22,0.0014,0.6432051,0.4294176,0.5479673,0.54612994
23,0.0014,0.64316994,0.4284094,0.547396,0.549526
24,0.0014,0.6431253,0.4284348,0.5478493,0.549528
25,0.0014,0.6431143,0.428733,0.547824,0.547584
26,0.0014,0.6430982,0.42849487,0.54767597,0.54896
27,0.0014,0.64304745,0.42925748,0.54791665,0.545396
28,0.0014,0.64297295,0.42874336,0.54835,0.548362
29,0.0014,0.64297503,0.4283078,0.5483067,0.550404
30,0.0014,0.64290917,0.4285126,0.54842466,0.549384
31,0.0014,0.64287436,0.42859137,0.5483453,0.547974
32,0.0014,0.6428536,0.4285316,0.548846,0.54939604
33,0.0014,0.64277303,0.42831907,0.54865336,0.549842
34,0.0014,0.6435062,0.4338163,0.54524934,0.499958
35,0.0014,0.645285,0.42866245,0.53662336,0.550546
36,0.0014,0.64266944,0.42839247,0.549482,0.54897404
37,0.0014,0.64233816,0.42790502,0.55031866,0.552086
38,0.0014,0.6421174,0.42768902,0.551456,0.553342
39,0.0014,0.64180857,0.4275623,0.5521027,0.55350196
40,0.0014,0.6415516,0.42780408,0.55288666,0.55395997
41,0.0014,0.64105856,0.42685848,0.55455804,0.55639
42,0.0014,0.6405509,0.42653307,0.555888,0.558246
43,0.0014,0.64013404,0.4263631,0.5572507,0.55865204
44,0.0014,0.63983124,0.42578024,0.55843467,0.561522
45,0.0014,0.6395882,0.4259236,0.55900735,0.561152
46,0.0014,0.63937694,0.42576027,0.55982864,0.561642
47,0.0014,0.6391531,0.42694777,0.56034195,0.555638
48,0.0014,0.6389739,0.42630187,0.56068265,0.55873203
49,0.0014,0.6385765,0.4248528,0.5623547,0.565614
50,0.0014,0.6383052,0.42460084,0.56255466,0.565872
51,0.0014,0.6379621,0.42524403,0.563532,0.563376
52,0.0014,0.6376059,0.4244347,0.5643153,0.566518
53,0.0014,0.63736427,0.42512935,0.56535935,0.565668
54,0.0014,0.63721937,0.42495057,0.56561,0.564644
55,0.0014,0.6369606,0.42392015,0.56602204,0.56895995
56,0.0014,0.6369466,0.42375296,0.5661887,0.569956
57,0.0014,0.6369312,0.4254715,0.566382,0.56267405
58,0.0014,0.6367859,0.42377916,0.5665246,0.570106
59,0.0014,0.6367092,0.4239988,0.5668427,0.568874
60,0.0014,0.63655955,0.42354268,0.5671527,0.570868
61,0.0014,0.6365938,0.42478496,0.56708467,0.565406
62,0.0014,0.6364342,0.42404824,0.5671207,0.569782
63,0.0014,0.6363361,0.42444474,0.56742465,0.567178
64,0.0014,0.6362349,0.42505854,0.5680287,0.565706
65,0.0014,0.63621837,0.4235278,0.5680273,0.57088
66,0.0014,0.63615525,0.42374295,0.56805867,0.57031596
67,0.0014,0.63605237,0.42423725,0.56847334,0.56851804
68,0.0014,0.6360278,0.4235505,0.5681893,0.570356
