epochs,learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0,0.0014,0.6475399,0.6868303,0.5287204,0.5446367
1,0.0014,0.6426284,0.6836666,0.54875666,0.55410284
2,0.0014,0.64175034,0.6830132,0.5516794,0.55551493
3,0.0014,0.64140224,0.6827876,0.55308473,0.5559069
4,0.0014,0.64108336,0.68316376,0.55397004,0.5549449
5,0.0014,0.6408904,0.6825284,0.5545527,0.55660295
6,0.0014,0.6407588,0.6829579,0.5549247,0.5554729
7,0.0014,0.6406559,0.6847533,0.5554054,0.54919076
8,0.0014,0.64054,0.68252176,0.5554974,0.55646294
9,0.0014,0.64040446,0.6828123,0.55599606,0.5563709
10,0.0014,0.6403453,0.6823589,0.55618346,0.5564469
11,0.0014,0.640278,0.6830314,0.55631006,0.55481887
12,0.0014,0.64019424,0.68226886,0.55641943,0.55712485
13,0.0014,0.64017653,0.6821778,0.5562161,0.5575849
14,0.0014,0.6401377,0.68322337,0.5565667,0.5547708
15,0.0014,0.64007753,0.6825908,0.55710876,0.5564109
16,0.0014,0.6400614,0.68257487,0.5566515,0.5558629
17,0.0014,0.64000684,0.6822025,0.5567061,0.5574789
18,0.0014,0.6399481,0.68369764,0.55700874,0.55335885
19,0.0014,0.63993347,0.68231666,0.5570607,0.5571689
20,0.0014,0.6398863,0.68258214,0.55712473,0.5568909
21,0.0014,0.63986504,0.68229914,0.5568601,0.5570429
22,0.0014,0.6398639,0.6828331,0.5574994,0.55595684
23,0.0014,0.6398035,0.68206507,0.55752075,0.5573149
24,0.0014,0.63978064,0.6845894,0.55728674,0.5478188
25,0.0014,0.63976884,0.68206614,0.5574028,0.5571889
26,0.0014,0.6397062,0.6822532,0.5576075,0.5572149
27,0.0014,0.6397,0.68207836,0.55780745,0.5574589
28,0.0014,0.6396865,0.6824254,0.5577721,0.5565529
29,0.0014,0.6396077,0.68188643,0.5579021,0.5578629
30,0.0014,0.6396276,0.68211824,0.5584334,0.55740094
31,0.0014,0.6395964,0.68333334,0.55791277,0.55361885
32,0.0014,0.63962775,0.6821724,0.55766344,0.5575089
33,0.0014,0.63956517,0.68199396,0.55841744,0.5580369
34,0.0014,0.63956946,0.68213594,0.5580308,0.5573609
35,0.0014,0.63953614,0.6819618,0.5580194,0.55736494
36,0.0014,0.63947785,0.6841707,0.55835277,0.5522069
37,0.0014,0.639479,0.6822069,0.5583668,0.5568609
38,0.0014,0.63941133,0.6822277,0.5581901,0.5572629
39,0.0014,0.6394317,0.6819571,0.5585168,0.55797696
40,0.0014,0.63939536,0.68237764,0.5585488,0.5570969
41,0.0014,0.63942736,0.6823612,0.55849814,0.5567349
42,0.0014,0.6393291,0.68229896,0.5587742,0.5567809
43,0.0014,0.6393496,0.68206114,0.5585261,0.5578069
44,0.0014,0.6392984,0.68239987,0.55881214,0.55709696
45,0.0014,0.6393361,0.6819942,0.55850345,0.5582929
46,0.0014,0.6392427,0.68210775,0.5585768,0.5577989
47,0.0014,0.639239,0.68235546,0.5589454,0.5574869
48,0.0014,0.6391884,0.6819657,0.5590808,0.55779094
49,0.0014,0.63918066,0.68204045,0.55915284,0.557897
50,0.0014,0.63920045,0.68209887,0.5590755,0.5574529
51,0.0014,0.6391243,0.6821496,0.5591561,0.55758494
52,0.0014,0.6391574,0.6822184,0.5587741,0.5571969
53,0.0014,0.6390588,0.68246067,0.55905616,0.55655694
54,0.0014,0.6390479,0.6822545,0.55936146,0.55734086
55,0.0014,0.6390261,0.6819577,0.5595375,0.55742294
56,0.0014,0.63897026,0.684687,0.5594548,0.5546849
57,0.0014,0.63890636,0.68270683,0.55961347,0.55728686
58,0.0014,0.6389049,0.68198854,0.5595228,0.5578909
59,0.0014,0.63886476,0.68215585,0.5596968,0.5575829
60,0.0014,0.6388576,0.68233114,0.56004345,0.5575409
61,0.0014,0.6387943,0.682722,0.5602768,0.5566509
62,0.0014,0.6387228,0.6818657,0.55996215,0.5588489
63,0.0014,0.638653,0.68340236,0.5602788,0.5554529
64,0.0014,0.6385227,0.68191385,0.56063616,0.55810493
65,0.0014,0.63843703,0.6813433,0.56113815,0.55957496
66,0.0014,0.6381354,0.6822127,0.5616601,0.5567249
67,0.0014,0.6377326,0.6799792,0.56286883,0.563321
68,0.0014,0.6372127,0.6816173,0.56406546,0.55963695
69,0.0014,0.63659424,0.6784086,0.5649949,0.56612706
70,0.0014,0.6358672,0.6780439,0.56752825,0.56783104
71,0.0014,0.6351174,0.6762589,0.5694236,0.57120115
72,0.0014,0.634521,0.67534196,0.57075095,0.5740932
73,0.0014,0.63395905,0.67468166,0.571947,0.5743532
74,0.0014,0.63345265,0.6741775,0.5734683,0.5755472
75,0.0014,0.63301444,0.67591906,0.574049,0.57282114
76,0.0014,0.63265896,0.6767665,0.57476234,0.56990516
77,0.0014,0.6322527,0.6751505,0.5755597,0.5750632
78,0.0014,0.6319858,0.6732278,0.57610637,0.5775132
79,0.0014,0.6315733,0.6725788,0.5769543,0.57886726
80,0.0014,0.6312135,0.6721196,0.5779778,0.57899725
81,0.0014,0.6310961,0.67335135,0.57819104,0.57803124
82,0.0014,0.63084227,0.6727091,0.57825506,0.5782852
83,0.0014,0.6307726,0.67182684,0.5791037,0.57964927
84,0.0014,0.63060784,0.67286134,0.5790524,0.57868326
85,0.0014,0.6304094,0.6727125,0.57887775,0.5779132
86,0.0014,0.63031256,0.67352515,0.5796171,0.5767232
87,0.0014,0.63025707,0.6701898,0.5794624,0.58215934
88,0.0014,0.63004816,0.6787133,0.5800431,0.57260716
89,0.0014,0.62999153,0.67209923,0.5800604,0.5793773
