epochs,learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
250,0.001,0.5080905,0.48712742,0.74318784,0.75742
251,0.001,0.50810415,0.47539335,0.7437325,0.765274
252,0.001,0.50813484,0.48184747,0.7436518,0.75972
253,0.001,0.50799763,0.4822552,0.7432658,0.76094
254,0.001,0.5075696,0.4849743,0.7437018,0.758514
255,0.001,0.5073494,0.47547293,0.74402785,0.765102
256,0.001,0.50688636,0.47409168,0.7443265,0.765814
257,0.001,0.5067924,0.47562784,0.74404514,0.765558
258,0.001,0.50645703,0.47510692,0.7443585,0.765572
259,0.001,0.5063223,0.47192946,0.74423647,0.768086
260,0.001,0.50611603,0.47347623,0.74473715,0.766166
261,0.001,0.50589484,0.4884761,0.7448405,0.754988
262,0.001,0.5059486,0.47588232,0.74470985,0.76368
263,0.001,0.5052526,0.47276372,0.74508315,0.767226
264,0.001,0.50551206,0.4731426,0.7450478,0.766922
265,0.001,0.50508106,0.47704837,0.7452585,0.763442
266,0.001,0.5048859,0.47604138,0.74576247,0.764268
267,0.001,0.5047509,0.47931996,0.7459785,0.76239
268,0.001,0.504584,0.471817,0.74565315,0.767908
269,0.001,0.5042787,0.4778064,0.7461298,0.763432
270,0.001,0.5044523,0.47712594,0.74583584,0.763424
271,0.001,0.50411624,0.47829822,0.74610317,0.762998
272,0.001,0.50425816,0.47714514,0.7459305,0.764552
273,0.001,0.50382316,0.47489184,0.74647516,0.76508
274,0.001,0.50367033,0.46966845,0.7464065,0.768328
275,0.001,0.5033026,0.47393638,0.7466572,0.766332
276,0.001,0.5032171,0.47096077,0.7464445,0.76754
277,0.001,0.5031618,0.47085252,0.7468878,0.76786
278,0.001,0.5028508,0.47298107,0.7470238,0.767326
279,0.001,0.502701,0.47054255,0.7470432,0.768128
280,0.001,0.5026336,0.46908033,0.74713516,0.769236
281,0.001,0.5024774,0.4807578,0.7474105,0.764522
282,0.001,0.50234425,0.47789946,0.74712116,0.763778
283,0.001,0.50196326,0.4669662,0.7477645,0.771036
284,0.001,0.50173986,0.47217992,0.7479338,0.767426
285,0.001,0.50202125,0.47347176,0.7478398,0.76561
286,0.001,0.5020036,0.47697514,0.7472505,0.763568
287,0.001,0.5018675,0.47006476,0.7475052,0.7683
288,0.001,0.50126064,0.46976918,0.7483792,0.76881
289,0.001,0.5017929,0.47033992,0.74774116,0.768838
290,0.001,0.5015112,0.47432825,0.7476752,0.765248
291,0.001,0.5012619,0.47129887,0.7477265,0.768302
292,0.001,0.5006786,0.47265187,0.7486718,0.765398
293,0.001,0.50073695,0.47648624,0.7481925,0.764268
294,0.001,0.5005892,0.47623128,0.7487685,0.763372
295,0.001,0.50052094,0.4698235,0.7487212,0.768268
296,0.001,0.50059104,0.48170468,0.7486685,0.760528
297,0.001,0.5003516,0.47043937,0.7488432,0.768462
298,0.001,0.4997076,0.47440544,0.74907315,0.764852
299,0.001,0.49993291,0.46506202,0.7484985,0.772106
300,0.001,0.49934852,0.4860687,0.74953914,0.756912
301,0.001,0.4994604,0.48068646,0.7494132,0.760078
302,0.001,0.49966815,0.46899688,0.7493312,0.769684
303,0.001,0.49932343,0.4686215,0.7496038,0.769368
304,0.001,0.49916643,0.46894202,0.74933517,0.76912
305,0.001,0.4991134,0.47412556,0.7501792,0.76543
306,0.001,0.49935842,0.46724558,0.74912584,0.770764
307,0.001,0.4991973,0.4765522,0.7493925,0.766092
308,0.001,0.49896538,0.4734141,0.7494885,0.76597
309,0.001,0.49873215,0.46528986,0.7497578,0.772092
310,0.001,0.4987066,0.46446696,0.7496232,0.772016
311,0.001,0.49844137,0.46499217,0.75007516,0.772574
312,0.001,0.49840373,0.477655,0.7502245,0.765214
313,0.001,0.49846694,0.46388435,0.75000316,0.772916
314,0.001,0.4980876,0.46780822,0.7506372,0.76986
315,0.001,0.49831396,0.476208,0.7506138,0.762754
316,0.001,0.49801672,0.46722695,0.75060916,0.770494
317,0.001,0.49836454,0.47770122,0.7501825,0.763148
318,0.001,0.49759203,0.4720245,0.7505865,0.768418
319,0.001,0.4977952,0.46413088,0.7507485,0.773222
320,0.001,0.49789104,0.46946904,0.75081915,0.768326
321,0.001,0.49770468,0.4755714,0.7506792,0.76522
322,0.001,0.4974115,0.4735378,0.7508532,0.767084
323,0.001,0.4975407,0.46440646,0.7507025,0.772616
324,0.001,0.49744925,0.47688052,0.7505825,0.765348
325,0.001,0.4972761,0.46467584,0.7512345,0.772434
326,0.001,0.4976844,0.46366847,0.75107515,0.773264
327,0.001,0.4971115,0.465238,0.7512738,0.772186
328,0.001,0.4969518,0.46830404,0.7510638,0.769946
329,0.001,0.49716634,0.4841004,0.7509918,0.75981
330,0.001,0.4969249,0.47249082,0.7510998,0.765894
331,0.001,0.49681216,0.46653035,0.75138783,0.771244
332,0.001,0.49658722,0.4629056,0.75176316,0.77397
333,0.001,0.4966477,0.46297058,0.7511478,0.773142
334,0.001,0.49673346,0.47475296,0.7513645,0.767404
335,0.001,0.49627864,0.4732749,0.7515398,0.766514
336,0.001,0.4961962,0.4656216,0.75209785,0.771484
337,0.001,0.49661025,0.46413797,0.7514805,0.772828
338,0.001,0.4962615,0.4663014,0.7514812,0.77115
