learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0.001,0.69643176,0.6968771,0.53458,0.51166
0.001,0.6994277,0.69110614,0.5242467,0.53326
0.001,0.70550716,0.7098701,0.51350665,0.49736
0.001,0.71187264,0.82339174,0.51576,0.4983
0.001,0.71262825,0.70314646,0.5166,0.4947
0.001,0.72757494,0.68962795,0.5070867,0.5385
0.001,0.71656054,0.71297246,0.5096933,0.50264
0.001,0.71342033,0.7021122,0.51347333,0.53458
0.001,0.71480364,0.7120465,0.51125336,0.48886
0.001,0.7305651,0.7320116,0.5137333,0.50742
0.001,0.7275814,0.69290227,0.5116867,0.53348
0.001,0.71561944,0.68957126,0.5134467,0.53906
0.001,0.72133046,0.7580146,0.51303333,0.49764
0.001,0.727698,0.69713575,0.50307333,0.50422
0.001,0.7353391,0.7153739,0.50398,0.50296
0.001,0.7429399,0.71063256,0.50453335,0.50136
0.001,0.7301602,0.69011295,0.50596666,0.53316
0.001,0.73133814,0.69747317,0.5043667,0.51782
0.001,0.7227534,0.6936882,0.50584,0.52988
0.001,0.7571962,0.71243703,0.50773335,0.49952
0.001,0.74139297,0.69871515,0.50636667,0.46636
0.001,0.7300138,0.69201523,0.50626,0.51854
0.001,0.7330966,0.76666844,0.50897336,0.50264
0.001,0.7667312,0.7031678,0.50738,0.53826
0.001,0.7380079,0.7123231,0.51314664,0.5058
0.001,0.7468627,0.71436816,0.5119733,0.49732
0.001,0.75126076,0.69926023,0.51119334,0.53082
0.001,0.73521036,0.7057957,0.51145333,0.52386
0.001,0.7287063,0.74277127,0.5128,0.50876
0.001,0.7369872,0.6914576,0.5125,0.5288
0.001,0.7267949,0.6906506,0.51332,0.5452
0.001,0.72307795,0.70096064,0.51221335,0.50566
0.001,0.7221312,0.7125415,0.51246667,0.5169
0.001,0.7256277,0.7133578,0.5107333,0.50264
0.001,0.72186446,0.71638966,0.50716,0.49744
0.001,0.7192162,0.69286567,0.51204,0.51044
0.001,0.7196185,0.68980134,0.5115467,0.54144
0.001,0.7173632,0.6935275,0.51416665,0.50382
0.001,0.7161702,0.7402362,0.51441336,0.49736
0.001,0.7136697,0.71589464,0.51640666,0.49888
0.001,0.72843665,0.7004809,0.51397336,0.49656
0.001,0.7168257,0.70178384,0.5166133,0.51216
0.001,0.71872103,0.6904222,0.51708,0.54048
0.001,0.7271863,0.6988879,0.5168333,0.51034
0.001,0.7188711,0.6952524,0.51222664,0.49856
0.001,0.7168917,0.69606495,0.51778,0.49878
0.001,0.71694213,0.69353575,0.51356,0.50766
0.001,0.71659726,0.6873767,0.51136667,0.5458
0.001,0.7169707,0.68951595,0.51239336,0.53432
0.001,0.7158859,0.6921859,0.51428664,0.51546
0.001,0.7091937,0.68903905,0.51862,0.5447
0.001,0.7051129,0.694221,0.5210267,0.52424
0.001,0.70460474,0.68892705,0.52302665,0.54032
0.001,0.71380645,0.6861707,0.5217533,0.55246
0.001,0.7091346,0.68737584,0.52158666,0.54554
0.001,0.7045333,0.6919341,0.52389336,0.53536
0.001,0.70615894,0.69080985,0.52048665,0.531
0.001,0.7047461,0.6879915,0.52226,0.54122
0.001,0.7023015,0.6865629,0.52691334,0.55202
0.001,0.70464253,0.6857252,0.52500665,0.5501
0.001,0.7056523,0.68897784,0.52748,0.5444
0.001,0.7044622,0.68664885,0.5271867,0.55358
0.001,0.70327204,0.6861218,0.5264867,0.55306
0.001,0.70340204,0.6849969,0.52635336,0.55462
0.001,0.7048232,0.6956021,0.5220067,0.5166
0.001,0.7056447,0.7006259,0.5256067,0.50916
0.001,0.6997645,0.6893148,0.5299867,0.54424
0.001,0.6998733,0.70507526,0.5268933,0.50198
0.001,0.70429486,0.6989126,0.52504665,0.51202
0.001,0.7028988,0.69168,0.5257533,0.54062
0.001,0.70162416,0.6993081,0.5264933,0.50202
0.001,0.70015234,0.6897888,0.52632,0.53528
0.001,0.69740593,0.6984368,0.52830666,0.51702
0.001,0.69732034,0.69120294,0.52968,0.55182
0.001,0.69718623,0.69951415,0.53106,0.49942
0.001,0.69500726,0.69186527,0.5329133,0.51292
0.001,0.69640803,0.68700266,0.53186,0.54758
0.001,0.6957749,0.6853342,0.532,0.5562
0.001,0.6959308,0.6988431,0.52970666,0.5155
0.001,0.6948445,0.6944119,0.53153336,0.52978
0.001,0.6951793,0.6861585,0.5320867,0.55468
0.001,0.6943671,0.6920903,0.5333933,0.52356
0.001,0.69493914,0.72653997,0.5348267,0.49748
0.001,0.6948127,0.6970593,0.53386,0.53
0.001,0.6961905,0.6993043,0.53112,0.515
0.001,0.69308263,0.6904372,0.53596,0.53008
0.001,0.69418097,0.6877626,0.53508,0.5435
0.001,0.694,0.68695456,0.53448,0.54582
0.001,0.6933695,0.70779747,0.53609335,0.49924
0.001,0.6933686,0.68669856,0.53718,0.5486
0.001,0.69325453,0.6996069,0.53668666,0.50172
0.001,0.6916578,0.6843518,0.53826,0.55754
0.001,0.6906927,0.714903,0.53991336,0.49732
0.001,0.6910269,0.6888114,0.53943336,0.54216
0.001,0.69130856,0.6936657,0.53898,0.5199
0.001,0.6900066,0.6937643,0.54256666,0.51642
0.001,0.6912872,0.6883747,0.5386133,0.54064
0.001,0.69070745,0.6862067,0.53903335,0.55216
0.001,0.69019884,0.6838452,0.5405,0.55814
0.001,0.690075,0.6866249,0.54278,0.55264
0.001,0.6894837,0.68635845,0.5421733,0.5515
0.001,0.689046,0.6854337,0.5448267,0.55218
0.001,0.68844247,0.68720895,0.54698,0.54542
0.001,0.6887254,0.7048698,0.5458267,0.5001
0.001,0.68849933,0.69443333,0.5454133,0.5021
0.001,0.68756956,0.68602693,0.5477,0.55468
0.001,0.6875928,0.6873976,0.54855335,0.54322
0.001,0.68773836,0.6871379,0.54690665,0.55106
0.001,0.6867849,0.6859064,0.54999334,0.54832
0.001,0.6868703,0.6886917,0.5493867,0.53608
0.001,0.68651986,0.6838785,0.54946,0.55932
0.001,0.68654066,0.6856359,0.5510333,0.5544
0.001,0.6860189,0.69179875,0.5515467,0.53222
0.001,0.6856156,0.6889563,0.5533,0.54392
0.001,0.68526345,0.70728225,0.5537133,0.51156
0.001,0.6858024,0.6892745,0.5525,0.54362
0.001,0.6873807,0.68886626,0.55018,0.53816
0.001,0.6858309,0.69637674,0.55263335,0.5221
0.001,0.6850552,0.6846194,0.55462,0.5577
0.001,0.6845795,0.6848429,0.5553667,0.55646
0.001,0.6842981,0.68615663,0.55728,0.5516
0.001,0.6842413,0.6817161,0.5561867,0.56288
0.001,0.684209,0.68420994,0.55644,0.55512
0.001,0.68395567,0.6843139,0.55747336,0.55694
0.001,0.6845703,0.68117416,0.5557733,0.56258
0.001,0.6836699,0.68251234,0.558,0.55692
0.001,0.6833917,0.6843202,0.55844665,0.5573
