learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0.001,0.68526506,0.6815448,0.55523336,0.56776
0.001,0.6796479,0.688635,0.56554,0.56026
0.001,0.6762997,0.67359966,0.5747733,0.57976
0.001,0.67330116,0.67993295,0.58134,0.55948
0.001,0.6715614,0.6697356,0.5832933,0.5875
0.001,0.67005295,0.66996145,0.58648664,0.58674
0.001,0.6691003,0.6736708,0.5877333,0.58268
0.001,0.66858685,0.6729666,0.58776665,0.58204
0.001,0.66790676,0.6684978,0.5897667,0.58858
0.001,0.66763604,0.673876,0.58982,0.57882
0.001,0.6671334,0.66802275,0.59041333,0.58878
0.001,0.6663635,0.669185,0.59140664,0.58702
0.001,0.6661504,0.67502034,0.59223336,0.57794
0.001,0.6657758,0.6696635,0.5932133,0.58708
0.001,0.665544,0.6684201,0.5945,0.58742
0.001,0.66518503,0.6683273,0.5937333,0.58796
0.001,0.6646555,0.6689947,0.5951333,0.58964
0.001,0.66457653,0.66898185,0.59542,0.58804
0.001,0.66408217,0.6704024,0.59592664,0.58678
0.001,0.66390216,0.6682663,0.59498,0.58968
0.001,0.6636196,0.6679474,0.59709334,0.58716
0.001,0.66610223,0.6711867,0.59214,0.5832
0.001,0.6639027,0.6679455,0.59547335,0.58814
0.001,0.66333044,0.6678737,0.59696,0.58868
0.001,0.66368526,0.669559,0.5958933,0.58616
0.001,0.66311234,0.6722279,0.5966333,0.58148
0.001,0.6627741,0.66903335,0.59853333,0.58684
0.001,0.6620483,0.66948885,0.59832,0.58674
0.001,0.66165876,0.66788745,0.5985467,0.5911
0.001,0.6612862,0.6678137,0.6001667,0.58966
0.001,0.6608557,0.67017496,0.6011267,0.58798
0.001,0.6604616,0.66981083,0.6005667,0.58906
0.001,0.6600435,0.6697278,0.6017333,0.58938
0.001,0.65983933,0.67015356,0.60198665,0.589
0.001,0.6594799,0.66943157,0.6022133,0.58852
0.001,0.65904236,0.6729841,0.6032,0.58608
0.001,0.65902656,0.6710026,0.60348,0.5886
0.001,0.6586912,0.6729448,0.6037533,0.58566
0.001,0.6576837,0.67086023,0.60502666,0.58926
0.001,0.65790415,0.6696576,0.60574,0.58836
0.001,0.65753317,0.6721217,0.60488665,0.59024
0.001,0.6569756,0.67062765,0.60564,0.58708
0.001,0.656836,0.6711395,0.6059,0.589
0.001,0.65586627,0.669242,0.6073,0.58886
0.001,0.6562429,0.6738978,0.6057133,0.58616
0.001,0.6557177,0.6737332,0.6068133,0.58582
0.001,0.6554138,0.6743454,0.60774666,0.58454
0.001,0.65469056,0.67523456,0.6091667,0.58614
0.001,0.65495026,0.67066294,0.60986,0.58648
0.001,0.65408194,0.67398274,0.6087133,0.58686
0.001,0.6537313,0.67213887,0.60977334,0.58666
0.001,0.6535811,0.6712253,0.6105267,0.58626
0.001,0.6527425,0.6774479,0.61142,0.58092
0.001,0.6521257,0.67390174,0.61392665,0.58306
0.001,0.652158,0.6766651,0.61306,0.58484
0.001,0.6513101,0.6734691,0.61226666,0.5846
0.001,0.6515824,0.6714994,0.6143467,0.58652
0.001,0.65062815,0.6726822,0.61464,0.58578
0.001,0.6504637,0.67124057,0.61512,0.5849
0.001,0.64962614,0.67837876,0.61591333,0.58294
0.001,0.64919937,0.67601764,0.6162267,0.58624
0.001,0.6491799,0.6769266,0.61649334,0.58334
0.001,0.648727,0.67288387,0.61788666,0.58222
0.001,0.64824563,0.68222487,0.6188267,0.58766
0.001,0.64758354,0.6742556,0.6190867,0.58558
0.001,0.64725053,0.6803257,0.6189067,0.58382
0.001,0.6466427,0.67724484,0.62019336,0.58352
0.001,0.64666283,0.67932826,0.61934,0.5839
0.001,0.6455198,0.67492604,0.62112665,0.58218
0.001,0.64589417,0.68152833,0.6198933,0.5826
