epochs,learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
50,0.001,0.6224069,0.7036451,0.6504,0.5776
51,0.001,0.6160475,0.74687284,0.6584,0.571
52,0.001,0.6159514,0.7128496,0.6604667,0.5702
53,0.001,0.61108565,0.70252776,0.65526664,0.5728
54,0.001,0.6114561,0.7099796,0.6613333,0.5816
55,0.001,0.60722405,0.7369863,0.66866666,0.5618
56,0.001,0.608868,0.72033936,0.6614,0.5572
57,0.001,0.6051357,0.7245019,0.67053336,0.5656
58,0.001,0.5975675,0.724009,0.6754,0.5602
59,0.001,0.6016844,0.7319256,0.67186666,0.5552
60,0.001,0.5980068,0.7390347,0.67506665,0.5584
61,0.001,0.5891682,0.70953876,0.6825333,0.5646
62,0.001,0.59065557,0.74147743,0.6812,0.562
63,0.001,0.58906835,0.72333694,0.6846667,0.5608
64,0.001,0.5832698,0.75719506,0.6872,0.558
65,0.001,0.5816438,0.7675938,0.6878,0.5534
66,0.001,0.57736164,0.74482006,0.6915333,0.552
67,0.001,0.57403135,0.7470878,0.6938,0.5684
68,0.001,0.57704294,0.7875122,0.6918,0.5462
69,0.001,0.5672921,0.7499403,0.7043333,0.5648
70,0.001,0.57066923,0.71615964,0.6993333,0.5658
71,0.001,0.5697312,0.7578614,0.70133334,0.5682
72,0.001,0.5636351,0.8327876,0.7042,0.5456
73,0.001,0.563701,0.77103853,0.7083333,0.557
74,0.001,0.5537829,0.7653454,0.7132,0.553
